n_qubits,family,label,initial,depth,method,reference_method,unitary_distance,max_observable_delta,equivalence_passed,tolerance,generic_parity_survival,generic_magnetisation_expectation,generic_exact_state_retention,candidate_parity_survival,candidate_magnetisation_expectation,candidate_exact_state_retention
4,dla_parity,n4_even_signal,0011,6,current_xy_compiler,generic_pauli,1.3787759236837656,0.4234723431138969,False,1e-08,0.9999999999999993,1.8674879165349981e-31,0.2446927766843623,0.5765276568861024,0.38912225817064827,0.4525388013983198
4,dla_parity,n4_even_signal,0011,6,native_targeted_rxx_ryy,generic_pauli,3.592276460431497e-15,3.552713678800501e-15,True,1e-08,0.9999999999999993,1.8674879165349981e-31,0.2446927766843623,1.0000000000000029,-3.3703774026776627e-34,0.24469277668436287
4,dla_parity,n4_odd_signal,0001,6,current_xy_compiler,generic_pauli,1.3787759236837656,0.5408269405328245,False,1e-08,0.9999999999999986,1.9999999999999971,0.19715622392059529,0.5765276568861024,1.4591730594671726,0.4525388013983198
4,dla_parity,n4_odd_signal,0001,6,native_targeted_rxx_ryy,generic_pauli,3.752994235044707e-15,9.992007221626409e-15,True,1e-08,0.9999999999999986,1.9999999999999971,0.19715622392059529,1.0000000000000036,2.000000000000007,0.19715622392059612
4,popcount_control,n4_even_control,0101,10,current_xy_compiler,generic_pauli,1.3294276974687222,0.5268722749470557,False,1e-08,0.9999999999999993,-3.2327437102174712e-31,0.19169313586150571,0.5506843842624356,0.5268722749470557,0.40267627455992855
4,popcount_control,n4_even_control,0101,10,native_targeted_rxx_ryy,generic_pauli,5.104517251941402e-15,4.218847493575595e-15,True,1e-08,0.9999999999999993,-3.2327437102174712e-31,0.19169313586150571,1.0000000000000036,-2.07037469021628e-33,0.19169313586150635
6,dla_parity,n6_even_probe,000011,4,current_xy_compiler,generic_pauli,,0.3946130165111973,False,1e-06,0.999999999999999,1.999999999999998,0.5262779452503177,0.6053869834888017,1.7009767747067184,0.4876962060562068
6,dla_parity,n6_even_probe,000011,4,native_targeted_rxx_ryy,generic_pauli,,9.992007221626409e-15,True,1e-06,0.999999999999999,1.999999999999998,0.5262779452503177,1.000000000000004,2.000000000000008,0.5262779452503206
6,popcount_control,n6_odd_probe,000001,4,current_xy_compiler,generic_pauli,,0.8240219416159089,False,1e-06,0.9999999999999989,3.9999999999999956,0.507352228169958,0.6053869834888012,3.1759780583840866,0.48769620605620634
6,popcount_control,n6_odd_probe,000001,4,native_targeted_rxx_ryy,generic_pauli,,2.3092638912203256e-14,True,1e-06,0.9999999999999989,3.9999999999999956,0.507352228169958,1.0000000000000047,4.000000000000019,0.5073522281699611
8,stress_depth,n8_even_probe,00000011,3,current_xy_compiler,generic_pauli,,0.5032183881433712,False,1e-06,0.9999999999999976,3.9999999999999902,0.6961902974925988,0.6430310482224649,3.496781611856619,0.5500024155751461
8,stress_depth,n8_even_probe,00000011,3,native_targeted_rxx_ryy,generic_pauli,,2.5757174171303632e-14,True,1e-06,0.9999999999999976,3.9999999999999902,0.6961902974925988,1.000000000000004,4.000000000000016,0.6961902974926033
