prepared,total_shots,retention,parity_flip
0000,8192,0.9779052734375,0.02197265625
0001,8192,0.977783203125,0.02197265625
0010,8192,0.98193359375,0.0179443359375
0011,8192,0.9776611328125,0.022216796875
0100,8192,0.9771728515625,0.0228271484375
0101,8192,0.9742431640625,0.025634765625
0110,8192,0.9771728515625,0.022705078125
0111,8192,0.9560546875,0.0428466796875
1000,8192,0.9769287109375,0.0228271484375
1001,8192,0.9744873046875,0.025390625
1010,8192,0.975830078125,0.0238037109375
1011,8192,0.9559326171875,0.0428466796875
1100,8192,0.9727783203125,0.0269775390625
1101,8192,0.95703125,0.0426025390625
1110,8192,0.952392578125,0.0472412109375
1111,8192,0.95458984375,0.0445556640625
