protocol_id,n_qubits,baseline,status,wall_time_ms,memory_bytes,metric_payload,command,machine,dependencies,git_commit,notes
s2_quantum_advantage_scaling_2026-05-06,10,classical_ode,ok,3457.131149,142658102,"{'final_R': 0.6408746968839729, 'input_bytes': 880, 'peak_tracemalloc_bytes': 142658102}",PYTHONDONTWRITEBYTECODE=1 python scripts/bench_s2_scaling_lite.py,Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"{'python': '3.12.3', 'numpy': '2.2.6'}",0ee237c0a8b6ef04f7aee79f1118cc2a0d27242b,[]
s2_quantum_advantage_scaling_2026-05-06,10,dense_eigh,ok,2269.453342,16786466,"{'ground_energy': -17.009187520707624, 'hilbert_dim': 1024, 'estimated_dense_matrix_bytes': 16777216, 'peak_tracemalloc_bytes': 16786466}",PYTHONDONTWRITEBYTECODE=1 python scripts/bench_s2_scaling_lite.py,Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"{'python': '3.12.3', 'numpy': '2.2.6'}",0ee237c0a8b6ef04f7aee79f1118cc2a0d27242b,[]
s2_quantum_advantage_scaling_2026-05-06,10,sparse_eigsh,ok,967.365496,1705454,"{'ground_energy': -17.00918752070762, 'residual_norm': 3.175965997854037e-09, 'hilbert_dim': 1024, 'estimated_statevector_bytes': 16384, 'peak_tracemalloc_bytes': 1705454}",PYTHONDONTWRITEBYTECODE=1 python scripts/bench_s2_scaling_lite.py,Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"{'python': '3.12.3', 'numpy': '2.2.6'}",0ee237c0a8b6ef04f7aee79f1118cc2a0d27242b,[]
s2_quantum_advantage_scaling_2026-05-06,10,mps_tensor_network,ok,7735.83339,33566888,"{'ground_energy': -17.009187520707606, 'max_bond': 8, 'worst_cut_discarded_weight': 2.8768985103192746e-43, 'max_midchain_entropy_bits': 0.9999285114995681, 'hilbert_dim': 1024, 'estimated_dense_matrix_bytes': 16777216, 'peak_tracemalloc_bytes': 33566888}",PYTHONDONTWRITEBYTECODE=1 python scripts/bench_s2_scaling_lite.py,Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"{'python': '3.12.3', 'numpy': '2.2.6'}",0ee237c0a8b6ef04f7aee79f1118cc2a0d27242b,[]
s2_quantum_advantage_scaling_2026-05-06,10,aer_statevector,ok,2926.678239,55072261,"{'trotter_steps': 1, 'circuit_depth': 1, 'final_R': 0.0, 'final_psi': 0.0, 'hilbert_dim': 1024, 'estimated_statevector_bytes': 16384, 'peak_tracemalloc_bytes': 55072261}",PYTHONDONTWRITEBYTECODE=1 python scripts/bench_s2_scaling_lite.py,Linux-6.17.0-22-generic-x86_64-with-glibc2.39,"{'python': '3.12.3', 'numpy': '2.2.6'}",0ee237c0a8b6ef04f7aee79f1118cc2a0d27242b,[]
