benchmark,max_loop_latency_ms,max_tick_latency_ms,mean_completed_steps,mean_final_coupling_scale,mean_final_r_live,mean_loop_latency_ms,mean_per_run_p95_tick_latency_ms,mean_per_run_p99_tick_latency_ms,mean_tick_latency_ms,measurement_shots,median_loop_latency_ms,n_qubits,p95_loop_latency_ms,p95_tick_latency_ms,p99_loop_latency_ms,p99_tick_latency_ms,qpu_seconds,repeats_requested,repeats_successful,rust_feedback_policy_available,rust_full_loop_available,sla_breaches
realtime_control_e2e,40.174155,6.715363007970154,8.0,1.055689842843659,0.6235639331366775,30.340294099999998,4.713991752651054,4.919008422235493,3.7751089708763175,32,29.57663,2,39.74643315,5.6484014057787135,40.08861063,6.141578098176974,0.0,12,10,True,True,2
realtime_control_e2e,49.673346,8.554772997740656,8.0,1.0804040497194942,0.5843146984961236,32.175818,4.951169273651127,5.185093848219063,4.008457854070002,64,30.6610285,3,40.80718154999999,6.268513243412599,47.90011311000001,6.965508495341051,0.0,12,12,True,True,0
realtime_control_e2e,47.279793,10.990356036927551,8.0,1.0833466232780586,0.5810889612032357,40.3611546,6.339881243766285,6.682217056048103,5.031876922294032,64,39.373039,4,46.18429859999999,6.748359819175675,47.060694119999994,9.10359271743799,0.0,10,10,True,True,0
realtime_control_e2e_rust_full_loop,5.423482,0.004548,8.0,0.8401303749743788,0.986449375042702,0.45655475,0.0005375833333333331,0.0006519166666666665,0.0002236875,32,0.003985000000000001,2,2.4487217499999963,0.000429,4.828529950000003,0.0009009499999999891,0.0,12,12,True,True,0
realtime_control_e2e_rust_full_loop,0.016765,0.002398,8.0,0.8372697961485787,0.9912170064190357,0.005466583333333333,0.00044929583333333317,0.0005311258333333332,0.0002444895833333333,64,0.004191500000000001,3,0.011123649999999992,0.00049275,0.015636730000000005,0.0008352499999999953,0.0,12,12,True,True,0
realtime_control_e2e_rust_full_loop,0.014289,0.00269,8.0,0.8363200806787451,0.9927998655354249,0.00587125,0.0005763166666666665,0.0006647966666666666,0.00032409375,64,0.005060500000000001,4,0.010332299999999994,0.00040425,0.013497660000000005,0.001697249999999997,0.0,12,12,True,True,0
