family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,zne_noise_scale,n_repetitions,mean_expectation,stderr_expectation,readout_mitigated_mean_expectation,readout_mitigated_stderr_expectation,exact_expectation,deviation_from_exact,absolute_deviation,readout_mitigated_deviation_from_exact,readout_mitigated_absolute_deviation
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,1,3,0.4749348958333333,0.00479522130945841,0.48954534697195634,0.004916911784975421,-0.02654094933154684,0.5014758451648802,0.5014758451648802,0.5160862963035032,0.5160862963035032
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,3,3,0.39453125,0.020320949264340638,0.4062041367469857,0.021030404265013545,-0.02654094933154684,0.4210721993315468,0.4210721993315468,0.4327450860785325,0.4327450860785325
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,5,3,0.3525390625,0.021313537154779755,0.3630647087241528,0.022036199137494775,-0.02654094933154684,0.3790800118315468,0.3790800118315468,0.38960565805569963,0.38960565805569963
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,1,3,0.482421875,0.005722134059650699,0.4970755152296114,0.00599991930581694,-0.02654094933154684,0.5089628243315468,0.5089628243315468,0.5236164645611583,0.5236164645611583
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,3,3,0.4225260416666667,0.00492602407240285,0.4345308407514192,0.0051411457510539445,-0.02654094933154684,0.4490669909982135,0.4490669909982135,0.461071790082966,0.461071790082966
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,5,3,0.3434244791666667,0.00492602407240285,0.35249131915480425,0.005175545851702791,-0.02654094933154684,0.3699654284982135,0.3699654284982135,0.3790322684863511,0.3790322684863511
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,1,3,0.3798828125,0.0035210461674453023,0.3902737381773807,0.003652974335655385,-0.12445001747882631,0.5043328299788263,0.5043328299788263,0.514723755656207,0.514723755656207
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,3,3,0.2643229166666667,0.01305740307300233,0.2714222704592253,0.013502373034460505,-0.12445001747882631,0.38877293414549297,0.38877293414549297,0.3958722879380516,0.3958722879380516
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,5,3,0.126953125,0.015574054314981363,0.12995803517934512,0.016035856755791604,-0.12445001747882631,0.25140314247882634,0.25140314247882634,0.25440805265817146,0.25440805265817146
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,1,3,0.3785807291666667,0.02056457092719673,0.3891794738686364,0.021181806580487007,-0.12445001747882625,0.503030746645493,0.503030746645493,0.5136294913474626,0.5136294913474626
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,3,3,0.2421875,0.006278418464188122,0.24885210598531968,0.006445375891850551,-0.12445001747882625,0.3666375174788262,0.3666375174788262,0.37330212346414593,0.37330212346414593
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,5,3,0.1484375,0.009073801995290596,0.15252701360989118,0.00938505550105683,-0.12445001747882625,0.2728875174788262,0.2728875174788262,0.2769770310887174,0.2769770310887174
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,1,3,-0.4957682291666667,0.014597713102069441,-0.5109564908032678,0.015027865816585047,-0.7447232279570062,0.2489549987903395,0.2489549987903395,0.2337667371537384,0.2337667371537384
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,3,3,-0.2080078125,0.005437269885576194,-0.21529548438772708,0.005542554675423643,-0.7447232279570062,0.5367154154570062,0.5367154154570062,0.5294277435692791,0.5294277435692791
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,5,3,-0.06966145833333333,0.03008030915139775,-0.07338321045691422,0.031027846424975348,-0.7447232279570062,0.6750617696236728,0.6750617696236728,0.671340017500092,0.671340017500092
