basis_setting,n_observables,mean_signed_deviation,mean_absolute_deviation,max_absolute_deviation
IIXX,6,0.051974979878324466,0.16024502200918822,0.5053820951648802
IIYY,6,0.06895631668388,0.17290228141361785,0.5154732409982136
IIZZ,6,0.02035912955904388,0.06425548072011643,0.16817903810799378
IXXI,6,0.07444928015197676,0.0802491924810939,0.27415458282391614
IYYI,6,0.043199280151976764,0.06221502598423289,0.21783947865724945
IZZI,6,0.13037526616164163,0.13037526616164163,0.21249666545700618
XXII,6,0.03502586864818093,0.20180722988103875,0.5560906424788263
YYII,6,0.036653472814847564,0.19866052849214985,0.5541375174788262
ZZII,6,0.017711698926894417,0.09832666127567198,0.1781403920448787
