family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,exact_expectation,half_chain_purity,parity_survival_ideal,shots_per_setting,repetitions
fim_pair,fim_lambda0_reference,0011,4,0.0,YY_q0q1,YYII,YYII,-0.05618013854571671,0.5000513647720345,1.0000000000000024,2048,3
fim_pair,fim_lambda0_reference,0011,4,0.0,ZZ_q0q1,ZZII,ZZII,0.05831729946916957,0.5000513647720345,1.0000000000000024,2048,3
fim_pair,fim_lambda0_reference,0011,4,0.0,XX_q1q2,IXXI,IXXI,-0.0983733328239163,0.5000513647720345,1.0000000000000024,2048,3
fim_pair,fim_lambda0_reference,0011,4,0.0,YY_q1q2,IYYI,IYYI,-0.0983733328239163,0.5000513647720345,1.0000000000000024,2048,3
fim_pair,fim_lambda0_reference,0011,4,0.0,ZZ_q1q2,IZZI,IZZI,-0.7447232279570055,0.5000513647720345,1.0000000000000024,2048,3
fim_pair,fim_lambda0_reference,0011,4,0.0,XX_q2q3,IIXX,IIXX,-0.03419429860362761,0.5000513647720345,1.0000000000000024,2048,3
fim_pair,fim_lambda0_reference,0011,4,0.0,YY_q2q3,IIYY,IIYY,-0.03419429860362761,0.5000513647720345,1.0000000000000024,2048,3
fim_pair,fim_lambda0_reference,0011,4,0.0,ZZ_q2q3,IIZZ,IIZZ,0.05831729946916957,0.5000513647720345,1.0000000000000024,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,XX_q0q1,XXII,XXII,-0.05618013854571682,0.5000513647720353,1.000000000000003,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,YY_q0q1,YYII,YYII,-0.056180138545716796,0.5000513647720353,1.000000000000003,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q0q1,ZZII,ZZII,0.05831729946916936,0.5000513647720353,1.000000000000003,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,XX_q1q2,IXXI,IXXI,-0.09837333282391614,0.5000513647720353,1.000000000000003,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,YY_q1q2,IYYI,IYYI,-0.09837333282391614,0.5000513647720353,1.000000000000003,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,-0.7447232279570062,0.5000513647720353,1.000000000000003,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,XX_q2q3,IIXX,IIXX,-0.03419429860362771,0.5000513647720353,1.000000000000003,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,YY_q2q3,IIYY,IIYY,-0.03419429860362765,0.5000513647720353,1.000000000000003,2048,3
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q2q3,IIZZ,IIZZ,0.05831729946916936,0.5000513647720353,1.000000000000003,2048,3
