family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,zne_noise_scale,n_repetitions,mean_expectation,stderr_expectation,readout_mitigated_mean_expectation,readout_mitigated_stderr_expectation,exact_expectation,deviation_from_exact,absolute_deviation,readout_mitigated_deviation_from_exact,readout_mitigated_absolute_deviation
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,1,3,0.490234375,0.01760523083722651,0.5022015952392616,0.01813188975033358,-0.02654094933154684,0.5167753243315468,0.5167753243315468,0.5287425445708084,0.5287425445708084
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,3,3,0.4153645833333333,0.004694728223260403,0.42508352050664566,0.004987394519612371,-0.02654094933154684,0.44190553266488014,0.44190553266488014,0.4516244698381925,0.4516244698381925
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,5,3,0.353515625,0.004475171577105313,0.361530153398803,0.004548527601867908,-0.02654094933154684,0.3800565743315468,0.3800565743315468,0.38807110273034984,0.38807110273034984
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,1,3,0.5296223958333334,0.002893292453553252,0.5430191368656063,0.002958680448080607,-0.02654094933154684,0.5561633451648802,0.5561633451648802,0.5695600861971531,0.5695600861971531
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,3,3,0.4046223958333333,0.0028378248330342927,0.41423613568830536,0.002891150966760422,-0.02654094933154684,0.43116334516488014,0.43116334516488014,0.4407770850198522,0.4407770850198522
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,5,3,0.3753255208333333,0.01253572233982403,0.3843539951451024,0.012984445467785346,-0.02654094933154684,0.40186647016488014,0.40186647016488014,0.4108949444766492,0.4108949444766492
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,1,3,0.365234375,0.006502273553202533,0.3771974104504136,0.006720163776334701,-0.12445001747882631,0.48968439247882634,0.48968439247882634,0.5016474279292399,0.5016474279292399
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,3,3,0.22981770833333334,0.008215774390705704,0.23742300108257647,0.008456114908342994,-0.12445001747882631,0.35426772581215965,0.35426772581215965,0.36187301856140275,0.36187301856140275
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,5,3,0.15006510416666666,0.009338534041524122,0.15549117543683955,0.009681374394694528,-0.12445001747882631,0.27451512164549297,0.27451512164549297,0.2799411929156659,0.2799411929156659
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,1,3,0.3844401041666667,0.0069588406010520675,0.3977202999138831,0.0071119708051215445,-0.12445001747882625,0.508890121645493,0.508890121645493,0.5221703173927094,0.5221703173927094
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,3,3,0.23111979166666666,0.004306235857852524,0.23958136261731755,0.004464641173305724,-0.12445001747882625,0.3555698091454929,0.3555698091454929,0.3640313800961438,0.3640313800961438
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,5,3,0.15787760416666666,0.01253572233982403,0.16422253585974428,0.012946988146857644,-0.12445001747882625,0.2823276216454929,0.2823276216454929,0.28867255333857056,0.28867255333857056
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,1,3,-0.48828125,0.011005300458578756,-0.5027461977103552,0.011413508697905613,-0.7447232279570062,0.2564419779570062,0.2564419779570062,0.24197703024665096,0.24197703024665096
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,3,3,-0.15397135416666666,0.01408794596899896,-0.15921115579841505,0.014536400280627235,-0.7447232279570062,0.5907518737903396,0.5907518737903396,0.5855120721585911,0.5855120721585911
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,5,3,-0.0712890625,0.005074367600299445,-0.07442375790721031,0.005187861346534126,-0.7447232279570062,0.6734341654570062,0.6734341654570062,0.6702994700497958,0.6702994700497958
