family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,n_repetitions,mean_expectation,stderr_expectation,readout_mitigated_mean_expectation,readout_mitigated_stderr_expectation,exact_expectation,deviation_from_exact,absolute_deviation,readout_mitigated_deviation_from_exact,readout_mitigated_absolute_deviation,readout_mitigation_delta,z_score_vs_exact,readout_mitigated_z_score_vs_exact,half_chain_purity_reference,parity_survival_reference
dla_parity,dla_even_shallow,0011,6,,XX_q2q3,IIXX,IIXX,3,-0.2649739583333333,0.006534785123660394,-0.4724632144485726,0.015809538420392972,-0.14187435502038392,-0.12309960331294939,0.12309960331294939,-0.33058885942818866,0.33058885942818866,-0.20748925611523927,-18.837590063557652,-20.910721783107654,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,YY_q2q3,IIYY,IIYY,3,-0.2906901041666667,0.0017224943431410097,-0.5146443953343942,0.002396170087748175,-0.14187435502038392,-0.14881574914628276,0.14881574914628276,-0.3727700403140103,0.3727700403140103,-0.22395429116772753,-86.3954936855779,-155.56910680924352,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,ZZ_q2q3,IIZZ,IIZZ,3,-0.2864583333333333,0.0033985372750359867,-0.5115400908226025,0.0076161116205913,-0.4809184553268266,0.19446012199349327,0.19446012199349327,-0.030621635495775956,0.030621635495775956,-0.22508175748926923,57.218769798967166,-4.020639011248965,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,XX_q1q2,IXXI,IXXI,3,-0.11197916666666667,0.017490498218762616,-0.11335301854106093,0.01776346812499067,-0.11866797134598192,0.0066888046793152495,0.0066888046793152495,0.005314952804920989,0.005314952804920989,-0.0013738518743942607,0.38242505134244575,0.29920693231315604,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,YY_q1q2,IYYI,IYYI,3,-0.059244791666666664,0.017626284336824068,-0.05996837965648536,0.01811172712006317,-0.11866797134598198,0.05942317967931531,0.05942317967931531,0.058699591689496615,0.058699591689496615,-0.000723587989818697,3.371282259141309,3.2409715153267995,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,ZZ_q1q2,IZZI,IZZI,3,-0.2763671875,0.011005300458578756,-0.27941271441835974,0.011330991532921051,-0.39428090566769763,0.11791371816769763,0.11791371816769763,0.11486819124933789,0.11486819124933789,-0.003045526918359742,10.714266149433708,10.137523350502908,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,XX_q0q1,XXII,XXII,3,-0.2776692708333333,0.036753594209042825,-0.29083947870887705,0.03852265454233589,-0.19228185029433123,-0.08538742053900208,0.08538742053900208,-0.09855762841454582,0.09855762841454582,-0.013170207875543738,-2.3232400089456675,-2.5584329425230106,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,YY_q0q1,YYII,YYII,3,-0.2724609375,0.013683495805327931,-0.28526788549532267,0.014321171297245527,-0.19228185029433123,-0.08017908720566877,0.08017908720566877,-0.09298603520099144,0.09298603520099144,-0.01280694799532267,-5.8595470299665315,-6.492907128265128,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,ZZ_q0q1,ZZII,ZZII,3,-0.2724609375,0.009073801995290596,-0.28302091271526386,0.009413736381800748,-0.4809184553268266,0.2084575178268266,0.2084575178268266,0.19789754261156273,0.19789754261156273,-0.010559975215263862,22.973558155117157,21.022209947811074,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_signal,0011,10,,XX_q2q3,IIXX,IIXX,3,-0.2972005208333333,0.011831238180590006,-0.49907438226010015,0.02031371911058251,-0.3126123935870248,0.015411872753691491,0.015411872753691491,-0.18646198867307534,0.18646198867307534,-0.20187386142676683,1.302642421566305,-9.179116224755576,0.5528498324338822,1.0000000000000053
