channel_class,n_observables,mean_signed_amplification,mean_absolute_amplification,max_absolute_amplification
transverse_edge,24,0.10011007819583598,0.11096245685650882,0.5177968770015196
transverse_middle,12,-0.0020782495207086805,0.0025605821997568014,0.005590904012934994
zz_edge,12,0.011943759194037262,0.09461000330156678,0.28551012211097854
zz_middle,6,-0.007638194335845598,0.007638194335845598,0.013099552609839082
