family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,exact_expectation
dla_parity,dla_even_shallow,00000011,6,,XX_q6_q7,IIIIIIXX,IIIIIIXX,-0.08559051371955959
dla_parity,dla_even_shallow,00000011,6,,YY_q6_q7,IIIIIIYY,IIIIIIYY,-0.08559051371955959
dla_parity,dla_even_shallow,00000011,6,,XX_q3_q4,IIIXXIII,IIIXXIII,-0.009859960644553984
dla_parity,dla_even_shallow,00000011,6,,YY_q3_q4,IIIYYIII,IIIYYIII,-0.009859960644553956
dla_parity,dla_even_shallow,00000011,6,,XX_q0_q1,XXIIIIII,XXIIIIII,-1.876710727233309e-08
dla_parity,dla_even_shallow,00000011,6,,YY_q0_q1,YYIIIIII,YYIIIIII,-1.8767107333901582e-08
dla_parity,dla_even_signal,00000011,10,,XX_q6_q7,IIIIIIXX,IIIIIIXX,-0.17534356507607873
dla_parity,dla_even_signal,00000011,10,,YY_q6_q7,IIIIIIYY,IIIIIIYY,-0.17534356507607873
dla_parity,dla_even_signal,00000011,10,,XX_q3_q4,IIIXXIII,IIIXXIII,-0.09159719408372885
dla_parity,dla_even_signal,00000011,10,,YY_q3_q4,IIIYYIII,IIIYYIII,-0.09159719408372885
dla_parity,dla_even_signal,00000011,10,,XX_q0_q1,XXIIIIII,XXIIIIII,-0.00018221862270182513
dla_parity,dla_even_signal,00000011,10,,YY_q0_q1,YYIIIIII,YYIIIIII,-0.00018221862270184207
dla_parity,dla_odd_shallow,00000001,6,,XX_q6_q7,IIIIIIXX,IIIIIIXX,-0.09003682497811906
dla_parity,dla_odd_shallow,00000001,6,,YY_q6_q7,IIIIIIYY,IIIIIIYY,-0.09003682497811903
dla_parity,dla_odd_shallow,00000001,6,,XX_q3_q4,IIIXXIII,IIIXXIII,-0.0005017387923782002
dla_parity,dla_odd_shallow,00000001,6,,YY_q3_q4,IIIYYIII,IIIYYIII,-0.0005017387923782375
dla_parity,dla_odd_shallow,00000001,6,,XX_q0_q1,XXIIIIII,XXIIIIII,8.762992932154727e-18
dla_parity,dla_odd_shallow,00000001,6,,YY_q0_q1,YYIIIIII,YYIIIIII,-8.762992932154727e-18
dla_parity,dla_odd_signal,00000001,10,,XX_q6_q7,IIIIIIXX,IIIIIIXX,-0.0477817435379913
dla_parity,dla_odd_signal,00000001,10,,YY_q6_q7,IIIIIIYY,IIIIIIYY,-0.04778174353799126
dla_parity,dla_odd_signal,00000001,10,,XX_q3_q4,IIIXXIII,IIIXXIII,-0.03547963890502948
dla_parity,dla_odd_signal,00000001,10,,YY_q3_q4,IIIYYIII,IIIYYIII,-0.0354796389050295
dla_parity,dla_odd_signal,00000001,10,,XX_q0_q1,XXIIIIII,XXIIIIII,-4.154647061413495e-06
dla_parity,dla_odd_signal,00000001,10,,YY_q0_q1,YYIIIIII,YYIIIIII,-4.1546470613720376e-06
fim_pair,fim_lambda0_reference,00000011,4,0.0,XX_q6_q7,IIIIIIXX,IIIIIIXX,-0.02441997051822689
fim_pair,fim_lambda0_reference,00000011,4,0.0,YY_q6_q7,IIIIIIYY,IIIIIIYY,-0.02441997051822688
fim_pair,fim_lambda0_reference,00000011,4,0.0,XX_q3_q4,IIIXXIII,IIIXXIII,-0.0006620510990948886
fim_pair,fim_lambda0_reference,00000011,4,0.0,YY_q3_q4,IIIYYIII,IIIYYIII,-0.0006620510990948615
fim_pair,fim_lambda0_reference,00000011,4,0.0,XX_q0_q1,XXIIIIII,XXIIIIII,-7.449234594829809e-18
fim_pair,fim_lambda0_reference,00000011,4,0.0,YY_q0_q1,YYIIIIII,YYIIIIII,7.449234594829809e-18
fim_pair,fim_lambda4_feedback,00000011,4,4.0,XX_q6_q7,IIIIIIXX,IIIIIIXX,-0.024419970518226395
fim_pair,fim_lambda4_feedback,00000011,4,4.0,YY_q6_q7,IIIIIIYY,IIIIIIYY,-0.024419970518226357
fim_pair,fim_lambda4_feedback,00000011,4,4.0,XX_q3_q4,IIIXXIII,IIIXXIII,-0.0006620510990948961
fim_pair,fim_lambda4_feedback,00000011,4,4.0,YY_q3_q4,IIIYYIII,IIIYYIII,-0.0006620510990948677
fim_pair,fim_lambda4_feedback,00000011,4,4.0,XX_q0_q1,XXIIIIII,XXIIIIII,-5.229400964952238e-18
fim_pair,fim_lambda4_feedback,00000011,4,4.0,YY_q0_q1,YYIIIIII,YYIIIIII,5.229400964952238e-18
