family,label,initial,depth,lambda_fim,basis_setting,pauli_label,observable,noise_scales,scale_expectations,readout_mitigated_scale_expectations,exact_expectation,scale1_expectation,scale1_absolute_deviation,linear_zne_expectation,linear_zne_fit_residual,linear_zne_absolute_deviation,readout_mitigated_linear_zne_expectation,readout_mitigated_linear_zne_fit_residual,readout_mitigated_linear_zne_absolute_deviation,quadratic_zne_expectation,quadratic_zne_fit_residual,quadratic_zne_absolute_deviation,readout_mitigated_quadratic_zne_expectation,readout_mitigated_quadratic_zne_fit_residual,readout_mitigated_quadratic_zne_absolute_deviation
dla_parity,dla_even_shallow,00000011,6,,IIIIIIXX,IIIIIIXX,XX_q6_q7,"1,3,5","0.776692708333,0.763671875,0.780598958333","-0.163675594997,-0.151020670354,-0.136153051863",-0.08559051371955959,0.7766927083333334,0.862283222052893,0.7707248263888888,0.007058791652469919,0.8563153401084485,-0.17092501308847607,0.0005215369419443674,0.08533449936891649,0.7944335937499997,1.5700924586837752e-16,0.8800241074695593,-0.16917329712410736,2.2662332591841973e-17,0.08358278340454778
dla_parity,dla_even_shallow,00000011,6,,IIIIIIYY,IIIIIIYY,YY_q6_q7,"1,3,5","0.7890625,0.764973958333,0.777994791667","-0.154232293631,-0.124195947608,-0.157322408532",-0.08559051371955959,0.7890625,0.8746530137195596,0.7856445312499998,0.008746763569364819,0.8712350449695594,-0.14293263041491017,0.01488761637032677,0.05734211669535058,0.8150227864583327,1.8129866073473578e-16,0.9006133001778923,-0.19293651924792893,1.6730266542535367e-16,0.10734600552836934
dla_parity,dla_even_shallow,00000011,6,,IIIXXIII,IIIXXIII,XX_q3_q4,"1,3,5","0.0345052083333,0.0227864583333,0.0494791666667","0.0307247466467,0.0177908003242,0.0458613754333",-0.009859960644553984,0.034505208333333336,0.04436516897788732,0.024359809027777776,0.009053667554254843,0.03421976967233176,0.020106502544773135,0.009664858387847655,0.02996646318932712,0.054768880208333176,1.0254940256853995e-16,0.06462884085288716,0.052568415344733097,1.2510872532400407e-16,0.06242837598928708
dla_parity,dla_even_shallow,00000011,6,,IIIYYIII,IIIYYIII,YY_q3_q4,"1,3,5","0.108072916667,0.107421875,0.132161458333","0.105403898202,0.105037081634,0.130603721381",-0.009859960644553956,0.10807291666666667,0.11793287731122062,0.09781901041666657,0.005984627705354894,0.10767897106122053,0.0947816996883814,0.006112574273488663,0.10464166033293536,0.1179199218749999,5.374844106186573e-17,0.12777988251955386,0.11531235260501012,5.067451620406765e-17,0.12517231324956407
dla_parity,dla_even_shallow,00000011,6,,XXIIIIII,XXIIIIII,XX_q0_q1,"1,3,5","-0.503255208333,-0.514322916667,-0.490234375","-0.00198677833972,0.00974142596407,0.00544741604957",-1.876710727233309e-08,-0.5032552083333334,0.5032551895662261,-0.5123697916666667,0.008286407592029841,0.5123697728995594,-0.0011749579006650021,0.0037764721077940856,0.0011749391335577298,-0.48453776041666635,1.5700924586837752e-16,0.4845377416495591,-0.013859210823484422,6.920845570580657e-17,0.013859192056377149
dla_parity,dla_even_shallow,00000011,6,,YYIIIIII,YYIIIIII,YY_q0_q1,"1,3,5","-0.518229166667,-0.46484375,-0.506510416667","-0.0256854267689,-0.0145654457338,0.0164113952522",-1.8767107333901582e-08,-0.5182291666666666,0.5182291478995593,-0.5053168402777775,0.022403990896969598,0.5053168215106701,-0.03951910893263325,0.004680306774774182,0.03951909016552592,-0.5805664062499996,2.026980648162706e-16,0.5805663874828922,-0.023799094804871537,2.312241720214386e-17,0.023799076037764204
dla_parity,dla_even_signal,00000011,10,,IIIIIIXX,IIIIIIXX,XX_q6_q7,"1,3,5","0.632161458333,0.621744791667,0.624348958333","-0.187244014212,-0.196580874174,-0.194665737242",-0.17534356507607873,0.6321614583333334,0.8075050234094121,0.6319444444444444,0.003069039848900007,0.8072880095205232,-0.18726391627022057,0.0026521211019871977,0.011920351194141837,0.6422526041666662,1.8129866073473578e-16,0.8175961692427449,-0.17835608539544098,6.985000018454543e-17,0.0030125203193622496
dla_parity,dla_even_signal,00000011,10,,IIIIIIYY,IIIIIIYY,YY_q6_q7,"1,3,5","0.591145833333,0.604817708333,0.614583333333","-0.153441631242,-0.144069697861,-0.131867127105",-0.17534356507607873,0.5911458333333334,0.7664893984094121,0.5859374999999999,0.0009207119546699576,0.7612810650760786,-0.1593070301719273,0.0006671876279210264,0.01603653490415144,0.582845052083333,1.4332917616497527e-16,0.7581886171594118,-0.15706610891580025,3.583229404124382e-17,0.018277456160278482
dla_parity,dla_even_signal,00000011,10,,IIIXXIII,IIIXXIII,XX_q3_q4,"1,3,5","0.0924479166667,0.0553385416667,0.06640625","0.0957022873322,0.0574520776549,0.0684806147842",-0.09159719408372885,0.09244791666666667,0.18404511075039554,0.09092881944444443,0.011355447440929799,0.18252601352817327,0.09429458100141291,0.011615112011741263,0.18589177508514176,0.12906901041666644,1.7095609642851672e-16,0.22066620450039529,0.13330692222319468,1.6386175059481914e-16,0.22490411630692353
dla_parity,dla_even_signal,00000011,10,,IIIYYIII,IIIYYIII,YY_q3_q4,"1,3,5","0.0930989583333,0.127604166667,0.0807291666667","0.0936231742802,0.129709848915,0.0810873459945",-0.09159719408372885,0.09309895833333333,0.18469615241706216,0.10975477430555551,0.01918149905562466,0.20135196838928437,0.11087532761077547,0.01996614462591587,0.2024725216945043,0.045328776041666956,1.780832569827284e-16,0.1369259701253958,0.04381389537987769,2.8777593299067095e-16,0.13541108946360653
dla_parity,dla_even_signal,00000011,10,,XXIIIIII,XXIIIIII,XX_q0_q1,"1,3,5","-0.302083333333,-0.270182291667,-0.301432291667","-0.049977398043,-0.0444094826052,-0.0564832883322",-0.00018221862270182513,-0.3020833333333333,0.30190111471063147,-0.29172092013888873,0.014884843267164728,0.2915387015161869,-0.045410638609950246,0.004158193555791583,0.04522841998724842,-0.34171549479166635,1.5032490816276445e-16,0.3415332761689645,-0.05937700119868573,4.424961894518064e-17,0.05919478257598391
dla_parity,dla_even_signal,00000011,10,,YYIIIIII,YYIIIIII,YY_q0_q1,"1,3,5","-0.265625,-0.296223958333,-0.3125","0.0810605200575,0.061396517871,0.0417828522417",-0.00018221862270184207,-0.265625,0.26544278137729815,-0.2562934027777776,0.003375943833789919,0.2561111841550758,0.09087154758527188,1.1864440311310343e-05,0.09105376620797373,-0.2449544270833332,1.1555567610933196e-16,0.24477220846063136,0.0909113973597176,3.779415354373213e-17,0.09109361598241944
dla_parity,dla_odd_shallow,00000001,6,,IIIIIIXX,IIIIIIXX,XX_q6_q7,"1,3,5","0.780598958333,0.764973958333,0.789713541667","-0.219832473656,-0.208886464981,-0.217187623147",-0.09003682497811906,0.7805989583333334,0.8706357833114524,0.7715928819444442,0.00951402353158979,0.8616297069225632,-0.21728582514300526,0.004536600730574579,0.12724900016488622,0.8035481770833331,2.1259152388627147e-16,0.8935850020614522,-0.23252316555859961,3.583229404124382e-17,0.14248634058048054
dla_parity,dla_odd_shallow,00000001,6,,IIIIIIYY,IIIIIIYY,YY_q6_q7,"1,3,5","0.787109375,0.783854166667,0.779947916667","-0.152504992822,-0.192508112991,-0.149757510009",-0.09003682497811903,0.787109375,0.877146199978119,0.7890082465277773,0.0001534519924449624,0.8790450715058964,-0.16698415071718162,0.019505239602657758,0.07694732573906259,0.7884928385416663,1.1102230246251565e-16,0.8785296635197853,-0.10147078655657034,2.3387263717801085e-16,0.011433961578451307
dla_parity,dla_odd_shallow,00000001,6,,IIIXXIII,IIIXXIII,XX_q3_q4,"1,3,5","0.0944010416667,0.052734375,0.080078125","0.0901072647079,0.0477397487777,0.0755698447512",-0.0005017387923782002,0.09440104166666667,0.09490278045904488,0.08648003472222224,0.016265911199169713,0.08698177351460044,0.08204201771311728,0.01654573580004287,0.08254375650549549,0.14111328124999967,2.257718889973879e-16,0.14161502004237786,0.13761512713679083,2.0568485873225155e-16,0.13811686592916902
dla_parity,dla_odd_shallow,00000001,6,,IIIYYIII,IIIYYIII,YY_q3_q4,"1,3,5","0.127604166667,0.16015625,0.145833333333","0.124900221759,0.158097029485,0.14267898771",-0.0005017387923782375,0.12760416666666666,0.1281059054590449,0.13085937499999994,0.011048543456039811,0.1313611137923782,0.12855800518764307,0.011458629915908696,0.12905974398002132,0.09375000000000011,1.3877787807814457e-16,0.09425173879237835,0.09007124933357441,1.453307666099876e-16,0.09057298812595264
dla_parity,dla_odd_shallow,00000001,6,,XXIIIIII,XXIIIIII,XX_q0_q1,"1,3,5","-0.435546875,-0.419921875,-0.438151041667","-0.0376961800197,7.18856136081e-05,0.0142873083642",8.762992932154727e-18,-0.435546875,0.435546875,-0.42925347222222215,0.007979503607139865,0.42925347222222215,-0.04676661163522087,0.005551411165752527,0.046766611635220875,-0.45605468749999967,1.3597399555105182e-16,0.45605468749999967,-0.06541245391739782,9.176698118745557e-17,0.06541245391739783
dla_parity,dla_odd_shallow,00000001,6,,YYIIIIII,YYIIIIII,YY_q0_q1,"1,3,5","-0.427734375,-0.44140625,-0.397786458333","0.0408480011688,0.0261698714479,0.0109498502172",-8.762992932154727e-18,-0.427734375,0.427734375,-0.4447699652777775,0.013503775335159753,0.4447699652777775,0.04841285415835479,0.00012772505373239427,0.0484128541583548,-0.39941406249999994,1.199177923332954e-16,0.39941406249999994,0.047983856713152216,1.6996749443881478e-17,0.04798385671315222
dla_parity,dla_odd_signal,00000001,10,,IIIIIIXX,IIIIIIXX,XX_q6_q7,"1,3,5","0.623046875,0.630859375,0.625","-0.0829982927017,-0.0974689334872,-0.0717431319744",-0.0477817435379913,0.623046875,0.6708286185379913,0.6248372395833329,0.003222491841344917,0.6726189831213242,-0.09251148993328608,0.00947439230958286,0.04472974639529478,0.6140136718749998,6.409875621278546e-17,0.661795415412991,-0.0606893064470796,1.2256530327225745e-16,0.012907562909088302
dla_parity,dla_odd_signal,00000001,10,,IIIIIIYY,IIIIIIYY,YY_q6_q7,"1,3,5","0.620442708333,0.639322916667,0.600911458333","-0.0672662402567,-0.0647341547396,-0.0546284431519",-0.04778174353799126,0.6204427083333334,0.6682244518713246,0.6348741319444442,0.013503775335159701,0.6826558754824354,-0.07168796054461789,0.0017851207842295492,0.02390621700662663,0.5895182291666669,4.532466518368395e-16,0.6372999727046581,-0.06569217323873054,1.1331166295920986e-17,0.017910429700739285
dla_parity,dla_odd_signal,00000001,10,,IIIXXIII,IIIXXIII,XX_q3_q4,"1,3,5","0.0377604166667,0.033203125,0.0755208333333","0.0346193337454,0.031320811265,0.0745292418164",-0.03547963890502948,0.037760416666666664,0.07324005557169615,0.020507812500000003,0.011048543456039804,0.05598745140502949,0.016890697888998007,0.010961793953705758,0.052370336794027486,0.05761718749999984,9.65645422195687e-17,0.09309682640502932,0.05370870237251424,1.221718341885767e-16,0.08918834127754371
dla_parity,dla_odd_signal,00000001,10,,IIIYYIII,IIIYYIII,YY_q3_q4,"1,3,5","0.10546875,0.119140625,0.131510416667","0.101088065175,0.114768993908,0.126881215354",-0.0354796389050295,0.10546875,0.1409483889050295,0.0991753472222222,0.00030690398489000004,0.13465498612725169,0.0949012288451156,0.00036974785339282653,0.1303808677501451,0.09814453124999997,8.012344526598183e-18,0.13362417015502948,0.09365933557641531,5.551115123125783e-17,0.12913897448144482
dla_parity,dla_odd_signal,00000001,10,,XXIIIIII,XXIIIIII,XX_q0_q1,"1,3,5","0.482421875,0.450520833333,0.438151041667","-0.0676699169546,-0.00602196199866,-0.0382424898493",-4.154647061413495e-06,0.482421875,0.48242602964706144,0.49023437499999994,0.004603559773349932,0.4902385296470614,-0.059382026596449616,0.022125013577395998,0.059377871949388206,0.5056966145833329,2.398355846665908e-16,0.5057007692303943,-0.13369457548494962,2.4191411860445415e-16,0.1336904208378882
dla_parity,dla_odd_signal,00000001,10,,YYIIIIII,YYIIIIII,YY_q0_q1,"1,3,5","0.4609375,0.456380208333,0.464192708333","0.0717869899096,0.0727527728648,0.0632688129099",-4.1546470613720376e-06,0.4609375,0.4609416546470614,0.4580620659722221,0.002915587856454953,0.4580662206192835,0.07565815797785043,0.0024630280244662215,0.0756623126249118,0.467854817708333,1.3214297116801536e-16,0.46785897235539436,0.06738544484067573,2.997944808332385e-17,0.0673895994877371
fim_pair,fim_lambda0_reference,00000011,4,0.0,IIIIIIXX,IIIIIIXX,XX_q6_q7,"1,3,5","0.842447916667,0.841145833333,0.826822916667","-0.0663602463095,-0.0531307324015,-0.0702521829513",-0.02441997051822689,0.8424479166666666,0.8668678871848935,0.8485243055555554,0.0030690398488999807,0.8729442760737822,-0.06032876807281147,0.007153790927900557,0.03590879755458458,0.8382161458333328,1.2819751242557092e-16,0.8626361163515597,-0.08435661493528047,8.403417834083859e-17,0.05993664441705358
