family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,zne_noise_scale,n_repetitions,mean_expectation,stderr_expectation,readout_mitigated_mean_expectation,readout_mitigated_stderr_expectation,exact_expectation,deviation_from_exact,absolute_deviation,readout_mitigated_deviation_from_exact,readout_mitigated_absolute_deviation
dla_parity,dla_even_shallow,00000011,6,,XX_q6_q7,IIIIIIXX,IIIIIIXX,1,3,0.3020833333333333,0.011407171528603667,-0.052524115408839715,0.01939946022122303,-0.08559051371955959,0.3876738470528929,0.3876738470528929,0.03306639831071987,0.03306639831071987
dla_parity,dla_even_shallow,00000011,6,,XX_q6_q7,IIIIIIXX,IIIIIIXX,3,3,0.3157552083333333,0.02158279225813903,-0.025243417677518382,0.014501094309504088,-0.08559051371955959,0.4013457220528929,0.4013457220528929,0.06034709604204121,0.06034709604204121
dla_parity,dla_even_shallow,00000011,6,,XX_q6_q7,IIIIIIXX,IIIIIIXX,5,3,0.3359375,0.019563775001714478,-0.03966863307344646,0.03180338355327275,-0.08559051371955959,0.4215280137195596,0.4215280137195596,0.04592188064611313,0.04592188064611313
dla_parity,dla_even_shallow,00000011,6,,YY_q6_q7,IIIIIIYY,IIIIIIYY,1,3,0.3216145833333333,0.003960131855662904,0.08592830387562533,0.009655199161168157,-0.08559051371955959,0.4072050970528929,0.4072050970528929,0.17151881759518492,0.17151881759518492
dla_parity,dla_even_shallow,00000011,6,,YY_q6_q7,IIIIIIYY,IIIIIIYY,3,3,0.349609375,0.013004547106405065,0.072090925947247,0.009661390313285875,-0.08559051371955959,0.4351998887195596,0.4351998887195596,0.1576814396668066,0.1576814396668066
dla_parity,dla_even_shallow,00000011,6,,YY_q6_q7,IIIIIIYY,IIIIIIYY,5,3,0.318359375,0.00406575390520729,0.08561660018925343,0.024919384656965658,-0.08559051371955959,0.4039498887195596,0.4039498887195596,0.17120711390881302,0.17120711390881302
dla_parity,dla_even_shallow,00000011,6,,XX_q3_q4,IIIXXIII,IIIXXIII,1,3,0.08072916666666667,0.005562502438357768,0.08010083914122845,0.005678610662943326,-0.009859960644553984,0.09058912731122065,0.09058912731122065,0.08996079978578243,0.08996079978578243
dla_parity,dla_even_shallow,00000011,6,,XX_q3_q4,IIIXXIII,IIIXXIII,3,3,0.09895833333333333,0.011736820558151008,0.09876705017377917,0.01239838495475078,-0.009859960644553984,0.10881829397788731,0.10881829397788731,0.10862701081833315,0.10862701081833315
dla_parity,dla_even_shallow,00000011,6,,XX_q3_q4,IIIXXIII,IIIXXIII,5,3,0.09114583333333333,0.032238068758176947,0.09108925933231574,0.03380603954440075,-0.009859960644553984,0.10100579397788731,0.10100579397788731,0.10094921997686972,0.10094921997686972
dla_parity,dla_even_shallow,00000011,6,,YY_q3_q4,IIIYYIII,IIIYYIII,1,3,-0.037760416666666664,0.023446540501782694,-0.039850793639822045,0.024988465953611885,-0.009859960644553956,-0.027900456022112708,0.027900456022112708,-0.02999083299526809,0.02999083299526809
