ansatz,build_max_ms,build_mean_ms,build_median_ms,build_min_ms,build_repeats,build_stderr_ms,build_stdev_ms,n_qubits,parameters,raw_depth,raw_two_qubit_gates,reps,transpiled_depth,transpiled_two_qubit_gates
knm_informed,1.362143,0.6442583000000001,0.5834600000000001,0.550007,50.0,0.02240638095755086,0.15843703916933344,16,32,31,115,1,68,115
two_local,1.518478,0.43720242,0.356704,0.303428,50.0,0.03421911700973285,0.2419656968379803,16,64,33,120,1,72,120
efficient_su2,0.671614,0.35771934,0.320672,0.287559,50.0,0.012011807643658513,0.08493630639139339,16,64,19,15,1,25,15
knm_informed,1.843074,0.80064092,0.7117175,0.652581,50.0,0.03532304043766173,0.24977161425597244,20,40,39,163,1,84,163
two_local,1.282758,0.4437317,0.3874525,0.344704,50.0,0.026883747721750676,0.190096803177583,20,80,41,190,1,88,190
efficient_su2,0.488396,0.36387868,0.35003,0.323896,50.0,0.005476062193967113,0.03872160711553429,20,80,23,19,1,29,19
