ansatz,best_relative_error_pct,mean_absolute_error,mean_elapsed_ms,mean_relative_error_pct,n_qubits,n_seeds,reps,stderr_elapsed_ms,stderr_relative_error_pct,stdev_relative_error_pct
efficient_su2,2.9346432749458233e-05,0.00012092258627009282,618.722211685963,0.0019184925633839887,4,3,1,1.9041127237789632,0.0016862314208469086,0.0029206384942259034
knm_informed,1.0690875265640965e-08,1.9408954443633775e-09,186.95190164726228,3.079320076730727e-08,4,3,1,14.897441085348806,1.3552569716892338e-08,2.347373932277688e-08
two_local,5.589733904293959e-08,4.2633859374715165e-05,612.7699923235923,0.0006764058285691759,4,3,1,28.684284443349913,0.0006762873128418967,0.0011713639863563932
