ansatz,best_relative_error_pct,mean_absolute_error,mean_elapsed_ms,mean_relative_error_pct,n_qubits,n_seeds,reps,stderr_elapsed_ms,stderr_relative_error_pct,stdev_relative_error_pct
efficient_su2,0.0004436701697517274,2.796453079945138e-05,669.7647729888558,0.0004436701697517274,4,1,1,0.0,0.0,0.0
knm_informed,2.5098290361239558e-08,1.5819452414689295e-09,160.4681959724985,2.5098290361239558e-08,4,1,1,0.0,0.0,0.0
two_local,5.589733904293959e-08,3.5232092798764825e-09,623.6005639657378,5.589733904293959e-08,4,1,1,0.0,0.0,0.0
