family,label,n_qubits,initial,depth,target_observable,noise_model,p_x,p_z,p_readout,realistic,decoder,seed,trials,failures,logical_failure_rate,logical_failure_ci_low,logical_failure_ci_high,syndrome_rate,retained_fraction,decoder_runtime_ms
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,10,160,0,0.0,0.0,0.0,0.0,1.0,5.9752080123871565
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,11,160,0,0.0,0.0,0.0,0.0,1.0,6.531490013003349
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,12,160,0,0.0,0.0,0.0,0.0,1.0,4.935538861900568
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,13,160,0,0.0,0.0,0.0,0.0,1.0,5.920231807976961
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,14,160,0,0.0,0.0,0.0,0.0,1.0,7.193173049017787
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,15,160,0,0.0,0.0,0.0,0.0,1.0,5.578457145020366
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,16,160,0,0.0,0.0,0.0,0.0,1.0,6.888690870255232
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,17,160,0,0.0,0.0,0.0,0.0,1.0,9.921614080667496
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,18,160,0,0.0,0.0,0.0,0.0,1.0,8.608418982475996
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,19,160,0,0.0,0.0,0.0,0.0,1.0,6.126426858827472
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,0,160,0,0.0,0.0,0.0,0.0,1.0,7.785556139424443
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,1,160,0,0.0,0.0,0.0,0.0,1.0,9.176504099741578
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,2,160,0,0.0,0.0,0.0,0.0,1.0,8.41267197392881
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,3,160,0,0.0,0.0,0.0,0.0,1.0,7.547185989096761
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,4,160,0,0.0,0.0,0.0,0.0,1.0,5.05187688395381
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,5,160,0,0.0,0.0,0.0,0.0,1.0,8.392954943701625
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,6,160,0,0.0,0.0,0.0,0.0,1.0,6.582285976037383
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,7,160,0,0.0,0.0,0.0,0.0,1.0,7.496770936995745
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,8,160,0,0.0,0.0,0.0,0.0,1.0,5.282554076984525
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,9,160,0,0.0,0.0,0.0,0.0,1.0,4.963793093338609
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,10,160,0,0.0,0.0,0.0,0.0,1.0,4.718545125797391
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,11,160,0,0.0,0.0,0.0,0.0,1.0,4.736101953312755
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,12,160,0,0.0,0.0,0.0,0.0,1.0,4.365344997495413
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,13,160,0,0.0,0.0,0.0,0.0,1.0,4.476926987990737
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,14,160,0,0.0,0.0,0.0,0.0,1.0,4.359394079074264
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,15,160,0,0.0,0.0,0.0,0.0,1.0,4.312780918553472
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,16,160,0,0.0,0.0,0.0,0.0,1.0,4.334399942308664
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,17,160,0,0.0,0.0,0.0,0.0,1.0,4.502404946833849
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,18,160,0,0.0,0.0,0.0,0.0,1.0,4.642551997676492
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_aware_mwpm,19,160,0,0.0,0.0,0.0,0.0,1.0,5.397239001467824
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,0,160,0,0.0,0.0,0.0,0.0,1.0,5.865020910277963
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,1,160,0,0.0,0.0,0.0,0.0,1.0,4.997441079467535
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,2,160,0,0.0,0.0,0.0,0.0,1.0,4.458151059225202
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,3,160,0,0.0,0.0,0.0,0.0,1.0,5.693951155990362
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,4,160,0,0.0,0.0,0.0,0.0,1.0,4.770498024299741
