sector,initial,depth,correction,n_points,alpha_per_noise_scale,intercept_log_survival,extrapolated_survival_scale0,r_squared,rmse_log_survival,monotone_survival_decay,usable_for_guess_witness
even,0011,6,raw,3,0.11965775921718293,-0.29298266886171137,0.7460350702221497,0.9922853247336355,0.017229226192809494,True,True
even,0011,6,exact_state_readout_corrected,3,0.3051138032948333,0.25338462080127966,1.0,0.9997026505910602,0.008592990657450375,True,True
even,0011,8,raw,3,0.11695447908004553,-0.32189665933408207,0.7247730849932467,0.9553474520159334,0.04128988498703274,True,True
even,0011,8,exact_state_readout_corrected,3,0.29926753177489046,0.1836433512973612,1.0,0.9863134528513027,0.05756830445525974,True,True
even,0011,10,raw,3,0.10448535893960413,-0.3615059269749654,0.6966264671756284,0.9068518142694671,0.05468381964364068,True,True
even,0011,10,exact_state_readout_corrected,3,0.2611117393541166,0.07786956100017361,1.0,0.9416365994881896,0.10615474042189454,True,False
even,0011,14,raw,3,0.0776951259468963,-0.4226047858630763,0.6553375806148952,0.8466920992543924,0.05398805180826039,True,False
even,0011,14,exact_state_readout_corrected,3,0.18529454683938995,-0.07403951644171436,0.9286349967654994,0.8662802430019618,0.11888185935724091,True,False
odd,0001,6,raw,3,0.10348532846221242,-0.3238053471649645,0.7233910387927277,0.9945849808291795,0.01246930360909228,True,True
odd,0001,6,exact_state_readout_corrected,3,0.23026964744759765,0.09279292032906639,1.0,0.9999984745961372,0.00046442310137975474,True,True
odd,0001,8,raw,3,0.09817036834238005,-0.38210054432879026,0.6824264356479738,0.9648750587281355,0.030587011744565445,True,True
odd,0001,8,exact_state_readout_corrected,3,0.22635376926194575,-0.014892787826142118,0.9852175612574633,0.985578271905725,0.044713141938464575,True,True
odd,0001,10,raw,3,0.08964842684725328,-0.43094688224565897,0.6498934307375317,0.9261911881117938,0.041326709169968195,True,True
odd,0001,10,exact_state_readout_corrected,3,0.21009743698871136,-0.11479878155445222,0.8915455212631334,0.9521365295984947,0.0769232454206714,True,True
odd,0001,14,raw,3,0.06728687694986712,-0.5006608487914577,0.6061299670723864,0.7115101689061069,0.06996638517456359,False,False
odd,0001,14,exact_state_readout_corrected,3,0.15231556985138833,-0.28417768976699925,0.7526328976595863,0.7032991976022875,0.16155409292384368,False,False
