sector,initial,depth,noise_scale,n_reps,mean_leakage_raw,std_leakage_raw,mean_leakage_corrected,mean_survival_raw,mean_survival_corrected,mean_state_retention
even,0011,6,1,8,0.329986572265625,0.004943376683536825,0.05616634799235182,0.670013427734375,0.9438336520076482,0.137359619140625
even,0011,6,3,8,0.49151611328125,0.006027047842874829,0.47785213511790947,0.50848388671875,0.5221478648820905,0.092071533203125
even,0011,6,5,8,0.5848388671875,0.00572560517556571,0.7214786488209051,0.4151611328125,0.27852135117909493,0.0511474609375
even,0011,8,1,8,0.33612060546875,0.00891928104297954,0.07217973231357552,0.66387939453125,0.9278202676864244,0.0531005859375
even,0011,8,3,8,0.518646240234375,0.007106272156579362,0.5486775015933716,0.481353759765625,0.4513224984066284,0.040618896484375
even,0011,8,5,8,0.58416748046875,0.0034585990152605443,0.7197259400892289,0.41583251953125,0.28027405991077114,0.035247802734375
even,0011,10,1,8,0.347747802734375,0.008879251801479297,0.10253346080305928,0.652252197265625,0.8974665391969407,0.024688720703125
even,0011,10,3,8,0.528717041015625,0.008495898628186628,0.574968132568515,0.471282958984375,0.425031867431485,0.03277587890625
even,0011,10,5,8,0.570556640625,0.005658851067626591,0.684193753983429,0.429443359375,0.31580624601657104,0.037384033203125
even,0011,14,1,8,0.37005615234375,0.007769226390444443,0.16077119184193756,0.62994384765625,0.8392288081580624,0.015869140625
even,0011,14,3,8,0.519073486328125,0.009421928491013545,0.5497928616953474,0.480926513671875,0.45020713830465264,0.02728271484375
even,0011,14,5,8,0.538330078125,0.009352529936219704,0.60006373486297,0.461669921875,0.39993626513702996,0.03594970703125
odd,0001,6,1,8,0.341949462890625,0.006179866084087658,0.1281591039632395,0.658050537109375,0.8718408960367605,0.1278076171875
odd,0001,6,3,8,0.47894287109375,0.008493102851674294,0.45045950603101664,0.52105712890625,0.5495404939689834,0.092864990234375
odd,0001,6,5,8,0.56500244140625,0.006914774109163557,0.6529293509477312,0.43499755859375,0.3470706490522688,0.05816650390625
odd,0001,8,1,8,0.36785888671875,0.004511237180696382,0.18911545089029294,0.63214111328125,0.8108845491097071,0.042816162109375
odd,0001,8,3,8,0.51318359375,0.005135665031240876,0.5310166570936243,0.48681640625,0.46898334290637567,0.04022216796875
odd,0001,8,5,8,0.573150634765625,0.006529264189250082,0.6720993681792073,0.426849365234375,0.32790063182079265,0.031829833984375
odd,0001,10,1,8,0.388214111328125,0.0037514284512721943,0.23700459506031016,0.611785888671875,0.7629954049396899,0.03009033203125
odd,0001,10,3,8,0.53155517578125,0.005132399799355482,0.5742389431361287,0.46844482421875,0.42576105686387133,0.035003662109375
odd,0001,10,5,8,0.57257080078125,0.007308689184090769,0.6707352096496266,0.42742919921875,0.32926479035037337,0.0328369140625
odd,0001,14,1,8,0.404571533203125,0.007379387661611337,0.2754882251579552,0.595428466796875,0.7245117748420449,0.02972412109375
odd,0001,14,3,8,0.55133056640625,0.003351380349924889,0.6207639287765652,0.44866943359375,0.37923607122343483,0.03741455078125
odd,0001,14,5,8,0.545074462890625,0.007706821471664057,0.6060453762205629,0.454925537109375,0.39395462377943713,0.044342041015625
