n_qubits,family,label,initial,depth,lambda_fim,optimise,method,resource_seed,basis_gates,raw_depth,raw_two_qubit_gates,transpiled_depth,transpiled_size,transpiled_two_qubit_gates,ops
4,dla_parity,n4_odd_signal,0001,6,,True,vqs_two_local,1,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,dla_parity,n4_odd_signal,0001,6,,True,vqs_two_local,2,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,dla_parity,n4_odd_signal,0001,6,,True,vqs_two_local,3,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,dla_parity,n4_odd_signal,0001,6,,True,vqs_two_local,4,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,popcount_control,n4_even_control,0101,10,,True,trotter_reference,0,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,,True,trotter_reference,1,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,,True,trotter_reference,2,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,,True,trotter_reference,3,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,,True,trotter_reference,4,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_topology_informed,0,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_topology_informed,1,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_topology_informed,2,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_topology_informed,3,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_topology_informed,4,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_efficient_su2,0,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_efficient_su2,1,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_efficient_su2,2,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_efficient_su2,3,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_efficient_su2,4,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_two_local,0,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_two_local,1,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_two_local,2,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_two_local,3,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,popcount_control,n4_even_control,0101,10,,True,vqs_two_local,4,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,trotter_reference,0,rz sx x cx,22,24,77,164,24,"{""cx"": 24, ""rz"": 74, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,trotter_reference,1,rz sx x cx,22,24,77,164,24,"{""cx"": 24, ""rz"": 74, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,trotter_reference,2,rz sx x cx,22,24,77,164,24,"{""cx"": 24, ""rz"": 74, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,trotter_reference,3,rz sx x cx,22,24,77,164,24,"{""cx"": 24, ""rz"": 74, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,trotter_reference,4,rz sx x cx,22,24,77,164,24,"{""cx"": 24, ""rz"": 74, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_topology_informed,0,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_topology_informed,1,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_topology_informed,2,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_topology_informed,3,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_topology_informed,4,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_efficient_su2,0,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_efficient_su2,1,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_efficient_su2,2,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_efficient_su2,3,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_efficient_su2,4,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_two_local,0,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_two_local,1,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_two_local,2,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_two_local,3,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,vqs_two_local,4,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,trotter_reference,0,rz sx x cx,41,48,140,250,72,"{""cx"": 72, ""rz"": 112, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,trotter_reference,1,rz sx x cx,41,48,140,250,72,"{""cx"": 72, ""rz"": 112, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,trotter_reference,2,rz sx x cx,41,48,140,250,72,"{""cx"": 72, ""rz"": 112, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,trotter_reference,3,rz sx x cx,41,48,140,250,72,"{""cx"": 72, ""rz"": 112, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,trotter_reference,4,rz sx x cx,41,48,140,250,72,"{""cx"": 72, ""rz"": 112, ""sx"": 60, ""x"": 6}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_topology_informed,0,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_topology_informed,1,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_topology_informed,2,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_topology_informed,3,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_topology_informed,4,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_efficient_su2,0,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
