n_qubits,family,label,initial,depth,lambda_fim,optimise,ansatz,seed,optimizer,maxiter,num_parameters,n_evals,optimizer_success,best_loss,fidelity,target_parity_survival,candidate_parity_survival,parity_error,target_exact_state_retention,candidate_exact_state_retention,retention_error,target_magnetisation_expectation,candidate_magnetisation_expectation,promoted_accuracy_gate
4,dla_parity,n4_even_signal,0011,6,,True,topology_informed,11,COBYLA,60,16,60,False,0.26721504529159534,0.7327849547084047,1.0000000000000038,0.946995604109768,0.053004395890235756,0.2446927766843631,0.3371118877374005,0.09241911105303738,3.0767859336162882e-33,-0.01575243203172766,False
4,dla_parity,n4_even_signal,0011,6,,True,topology_informed,23,COBYLA,60,16,60,False,0.44431675402320947,0.5556832459767905,1.0000000000000038,0.8593499281881596,0.1406500718118442,0.2446927766843631,0.24668017888948113,0.001987402205118033,3.0767859336162882e-33,-0.22874645904495688,False
4,dla_parity,n4_even_signal,0011,6,,True,topology_informed,37,COBYLA,60,16,60,False,0.2855116560463846,0.7144883439536154,1.0000000000000038,0.9127267343576024,0.08727326564240134,0.2446927766843631,0.11681934747499065,0.12787342920937245,3.0767859336162882e-33,-0.003452146140549478,False
4,dla_parity,n4_even_signal,0011,6,,True,topology_informed,41,COBYLA,60,16,60,False,0.5212773330504812,0.47872266694951887,1.0000000000000038,0.5900974622276915,0.4099025377723122,0.2446927766843631,0.05058198133789712,0.19411079534646597,3.0767859336162882e-33,-0.06080665878022162,False
4,dla_parity,n4_even_signal,0011,6,,True,topology_informed,53,COBYLA,60,16,60,False,0.30502850200334297,0.694971497996657,1.0000000000000038,0.9175182068097224,0.08248179319028137,0.2446927766843631,0.2979680837777431,0.05327530709337999,3.0767859336162882e-33,0.0038734642074117476,False
4,dla_parity,n4_even_signal,0011,6,,True,efficient_su2,11,COBYLA,60,24,60,False,0.18588507732025727,0.8141149226797427,1.0000000000000038,0.9378109675169882,0.06218903248301555,0.2446927766843631,0.06810988965790454,0.17658288702645855,3.0767859336162882e-33,-0.11877464735955844,False
4,dla_parity,n4_even_signal,0011,6,,True,efficient_su2,23,COBYLA,60,24,60,False,0.1440737951872888,0.8559262048127112,1.0000000000000038,0.9731960360522084,0.026803963947795384,0.2446927766843631,0.24846390195667062,0.003771125272307524,3.0767859336162882e-33,0.12068080437008119,False
4,dla_parity,n4_even_signal,0011,6,,True,efficient_su2,37,COBYLA,60,24,60,False,0.272671649647772,0.727328350352228,1.0000000000000038,0.8995348666531261,0.10046513334687768,0.2446927766843631,0.08146467844709758,0.16322809823726553,3.0767859336162882e-33,-0.016649063288950855,False
4,dla_parity,n4_even_signal,0011,6,,True,efficient_su2,41,COBYLA,60,24,60,False,0.4447257825076181,0.5552742174923819,1.0000000000000038,0.770253964640094,0.22974603535990978,0.2446927766843631,0.10380900868782195,0.14088376799654115,3.0767859336162882e-33,0.15423701380144897,False
4,dla_parity,n4_even_signal,0011,6,,True,efficient_su2,53,COBYLA,60,24,60,False,0.3288207194770937,0.6711792805229063,1.0000000000000038,0.9490521198078652,0.050947880192138584,0.2446927766843631,0.30684026151885485,0.062147484834491756,3.0767859336162882e-33,-0.027038446639272906,False
