backend,job_id,block,depth,sector,initial,rep,shots,parity_leakage,same_parity_fraction,initial_state_retention,total_shots
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,6,odd,0001,10,4096,0.091796875,0.908203125,0.192138671875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,6,odd,0001,11,4096,0.102294921875,0.897705078125,0.1923828125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,0,4096,0.1220703125,0.8779296875,0.06689453125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,1,4096,0.1259765625,0.8740234375,0.0703125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,2,4096,0.128173828125,0.871826171875,0.060546875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,3,4096,0.122314453125,0.877685546875,0.0673828125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,4,4096,0.124755859375,0.875244140625,0.075439453125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,5,4096,0.120361328125,0.879638671875,0.0703125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,6,4096,0.127685546875,0.872314453125,0.066162109375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,7,4096,0.123046875,0.876953125,0.069580078125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,8,4096,0.12255859375,0.87744140625,0.06884765625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,9,4096,0.123779296875,0.876220703125,0.073486328125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,10,4096,0.11572265625,0.88427734375,0.06201171875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,even,0011,11,4096,0.120849609375,0.879150390625,0.076904296875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,0,4096,0.12890625,0.87109375,0.0537109375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,1,4096,0.12890625,0.87109375,0.0625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,2,4096,0.129150390625,0.870849609375,0.05908203125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,3,4096,0.128662109375,0.871337890625,0.061767578125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,4,4096,0.117431640625,0.882568359375,0.054443359375,4096
