ground_entropy_bits,lambda_fim,max_low_energy_entropy_bits,mean_low_energy_entropy_bits,n_eigenstates,n_qubits
-0.0,0.0,1.0822194530017948,0.6761490593422432,8,4
-0.0,0.25,1.0822194530017957,0.6761490593422441,8,4
-0.0,0.5,1.0822194530017952,0.6761490593422438,8,4
-0.0,1.0,1.082219453001795,0.6761490593422437,8,4
-0.0,2.0,1.0822194530017955,0.5840920343079217,8,4
-0.0,4.0,0.9727589273752525,0.5016499588606542,8,4
-0.0,8.0,0.9603087938798596,0.4896093666178925,8,4
-0.0,0.0,1.4782287863843029,0.8909467386213685,8,6
-0.0,0.25,1.478228786384317,0.8909467386213711,8,6
-0.0,0.5,1.4782287863843073,0.8909467386213703,8,6
-0.0,1.0,1.4008752149944106,0.7313650113975281,8,6
-0.0,2.0,1.4008752149944093,0.7313650113975279,8,6
-0.0,4.0,0.9996673065949866,0.42925460501402307,8,6
-0.0,8.0,0.9996673065949867,0.429254605014028,8,6
0.904411749331407,0.0,1.5751072682136587,0.9000011490467219,8,8
-0.0,0.25,1.3049309378474312,0.7289032198875898,8,8
-0.0,0.5,1.2463534278032584,0.5966279760652333,8,8
-0.0,1.0,1.2463534278032575,0.596627976065234,8,8
-0.0,2.0,1.2463534278032586,0.5966279760652351,8,8
-0.0,4.0,0.9471719599928852,0.4468386792857395,8,8
-0.0,8.0,0.9471719599928713,0.4408337975898282,8,8
