lambda_fim,magnetisation,max_spacing,mean_r,median_r,min_spacing,n_qubits,n_spacings,scope
2.0,-2,2.0683823405137165,0.4766398229577512,0.45928263827866944,0.019332824188668774,8,55,magnetisation_sector
2.0,-4,2.3068748652411784,0.36192736180633567,0.22434447250260892,0.013812135402700987,8,27,magnetisation_sector
2.0,-6,2.48925151475191,0.41889823272106796,0.3301331052136925,0.12432523502245374,8,7,magnetisation_sector
2.0,-8,,,,,8,0,magnetisation_sector
4.0,,13.71727539359875,0.40484235267412677,0.37688368665801586,0.000215681888637409,8,255,full_spectrum
4.0,8,,,,,8,0,magnetisation_sector
4.0,6,2.326601350522292,0.5681740883792185,0.46312805083762565,0.25387860201114165,8,7,magnetisation_sector
4.0,4,2.1459295514490346,0.5550737072288364,0.5493240278115856,0.032804241416997115,8,27,magnetisation_sector
4.0,2,2.0371010550149524,0.42627208879423073,0.3278429367806167,0.015475213385780506,8,55,magnetisation_sector
4.0,0,1.8700858703035879,0.40325163795113755,0.36871698386316115,0.008499395100717733,8,69,magnetisation_sector
4.0,-2,2.068382340513719,0.47663982295775403,0.4592826382787163,0.019332824188666775,8,55,magnetisation_sector
4.0,-4,2.306874865241177,0.3619273618063331,0.22434447250260317,0.013812135402699433,8,27,magnetisation_sector
4.0,-6,2.489251514751917,0.418898232721066,0.3301331052136961,0.12432523502245552,8,7,magnetisation_sector
4.0,-8,,,,,8,0,magnetisation_sector
8.0,,24.945999999999998,0.38522835076931283,0.32985121802523315,0.0008991114918757148,8,255,full_spectrum
8.0,8,,,,,8,0,magnetisation_sector
8.0,6,2.326601350522303,0.5681740883792288,0.46312805083766795,0.25387860201115586,8,7,magnetisation_sector
8.0,4,2.1459295514490346,0.55507370722884,0.5493240278115601,0.03280424141700067,8,27,magnetisation_sector
8.0,2,2.0371010550149844,0.4262720887942217,0.3278429367805803,0.015475213385769848,8,55,magnetisation_sector
8.0,0,1.8700858703035879,0.40325163795113755,0.36871698386316115,0.008499395100717733,8,69,magnetisation_sector
8.0,-2,2.068382340513672,0.47663982295775537,0.4592826382786941,0.019332824188671438,8,55,magnetisation_sector
8.0,-4,2.306874865241177,0.3619273618063325,0.22434447250260126,0.013812135402696768,8,27,magnetisation_sector
8.0,-6,2.4892515147519205,0.41889823272105836,0.3301331052136747,0.12432523502243598,8,7,magnetisation_sector
8.0,-8,,,,,8,0,magnetisation_sector
