fim_energy_shift,ground_energy,lambda_fim,magnetisation,max_energy,mean_energy,median_energy,n_qubits,sector_dimension,spectral_gap,spectral_width
-0.0,-6.303000000000001,0.0,4,-6.303000000000001,-6.303000000000001,-6.303000000000001,4,1,,0.0
-0.0,-5.171253248508572,0.0,2,-0.8654653732264115,-3.1515000000000004,-3.284640689132509,4,4,1.6218352381792256,4.30578787528216
-0.0,-2.7577852556095337,0.0,0,2.2991483122899568,-7.401486830834377e-17,0.0005908953151551044,4,6,1.3329124027570016,5.05693356789949
-0.0,0.719671758181248,0.0,-2,4.896871867475054,3.151499999999999,3.494728187171847,4,4,2.397364944379604,4.177200109293807
-0.0,6.303000000000001,0.0,-4,6.303000000000001,6.303000000000001,6.303000000000001,4,1,,0.0
-1.0,-7.303000000000001,0.25,4,-7.303000000000001,-7.303000000000001,-7.303000000000001,4,1,,0.0
-0.25,-5.421253248508574,0.25,2,-1.1154653732264086,-3.4015000000000004,-3.5346406891325097,4,4,1.621835238179227,4.3057878752821654
-0.0,-2.7577852556095337,0.25,0,2.2991483122899568,-7.401486830834377e-17,0.0005908953151551044,4,6,1.3329124027570016,5.05693356789949
-0.25,0.4696717581812475,0.25,-2,4.646871867475053,2.9014999999999986,3.244728187171847,4,4,2.3973649443796043,4.177200109293805
-1.0,5.303000000000001,0.25,-4,5.303000000000001,5.303000000000001,5.303000000000001,4,1,,0.0
-2.0,-8.303,0.5,4,-8.303,-8.303,-8.303,4,1,,0.0
-0.5,-5.671253248508573,0.5,2,-1.3654653732264106,-3.6515000000000004,-3.784640689132509,4,4,1.6218352381792265,4.305787875282162
-0.0,-2.7577852556095337,0.5,0,2.2991483122899568,-7.401486830834377e-17,0.0005908953151551044,4,6,1.3329124027570016,5.05693356789949
-0.5,0.21967175818124826,0.5,-2,4.396871867475056,2.6515,2.994728187171847,4,4,2.3973649443796043,4.177200109293808
-2.0,4.303000000000001,0.5,-4,4.303000000000001,4.303000000000001,4.303000000000001,4,1,,0.0
-4.0,-10.303,1.0,4,-10.303,-10.303,-10.303,4,1,,0.0
-1.0,-6.171253248508572,1.0,2,-1.8654653732264108,-4.1514999999999995,-4.284640689132509,4,4,1.6218352381792256,4.305787875282161
-0.0,-2.7577852556095337,1.0,0,2.2991483122899568,-7.401486830834377e-17,0.0005908953151551044,4,6,1.3329124027570016,5.05693356789949
-1.0,-0.2803282418187504,1.0,-2,3.896871867475057,2.1515000000000004,2.4947281871718476,4,4,2.397364944379603,4.177200109293808
-4.0,2.303000000000001,1.0,-4,2.303000000000001,2.303000000000001,2.303000000000001,4,1,,0.0
-8.0,-14.303,2.0,4,-14.303,-14.303,-14.303,4,1,,0.0
-2.0,-7.171253248508574,2.0,2,-2.865465373226409,-5.1515,-5.284640689132509,4,4,1.6218352381792274,4.3057878752821654
-0.0,-2.7577852556095337,2.0,0,2.2991483122899568,-7.401486830834377e-17,0.0005908953151551044,4,6,1.3329124027570016,5.05693356789949
-2.0,-1.2803282418187507,2.0,-2,2.8968718674750566,1.1515000000000002,1.4947281871718474,4,4,2.397364944379603,4.177200109293807
-8.0,-1.6969999999999992,2.0,-4,-1.6969999999999992,-1.6969999999999992,-1.6969999999999992,4,1,,0.0
-16.0,-22.303,4.0,4,-22.303,-22.303,-22.303,4,1,,0.0
-4.0,-9.171253248508572,4.0,2,-4.865465373226412,-7.1515,-7.284640689132509,4,4,1.6218352381792256,4.30578787528216
-0.0,-2.7577852556095337,4.0,0,2.2991483122899568,-7.401486830834377e-17,0.0005908953151551044,4,6,1.3329124027570016,5.05693356789949
-4.0,-3.2803282418187507,4.0,-2,0.8968718674750564,-0.8485,-0.5052718128281528,4,4,2.397364944379603,4.177200109293807
-16.0,-9.697,4.0,-4,-9.697,-9.697,-9.697,4,1,,0.0
-32.0,-38.303,8.0,4,-38.303,-38.303,-38.303,4,1,,0.0
-8.0,-13.17125324850857,8.0,2,-8.86546537322641,-11.151499999999999,-11.284640689132509,4,4,1.6218352381792247,4.30578787528216
-0.0,-2.7577852556095337,8.0,0,2.2991483122899568,-7.401486830834377e-17,0.0005908953151551044,4,6,1.3329124027570016,5.05693356789949
-8.0,-7.280328241818751,8.0,-2,-3.103128132524942,-4.8485,-4.505271812828152,4,4,2.3973649443796026,4.177200109293809
-32.0,-25.697,8.0,-4,-25.697,-25.697,-25.697,4,1,,0.0
-0.0,-10.793000000000001,0.0,6,-10.793000000000001,-10.793000000000001,-10.793000000000001,6,1,,0.0
-0.0,-10.346193014699248,0.0,4,-3.091075542571219,-7.195333333333333,-7.778164509449989,6,6,1.5137929351077553,7.2551174721280285
-0.0,-8.86314390028845,0.0,2,2.339704226888251,-3.597666666666667,-3.3996359617161573,6,15,1.7386926223871324,11.2028481271767
-0.0,-6.307226801913039,0.0,0,5.469788009268104,-2.6645352591003756e-16,0.06070366408982,6,20,1.6355334842387483,11.777014811181143
-0.0,-2.665651631955772,0.0,-2,8.085514689625558,3.597666666666667,3.8024567518875916,6,15,2.460983480375457,10.75116632158133
