absolute_error,ansatz,best_history_energy,elapsed_ms,energy,exact_energy,initial_energy,lambda_fim,maxiter,n_evals,n_qubits,optimizer_success,parameters,relative_error_pct,reps,seed
0.02346948224070733,knm_informed,-6.2795305177592935,241.5262620197609,-6.2795305177592935,-6.303000000000001,-1.670349921023796,0.0,80,80,4,False,16,0.3723541526369558,2,11
0.01117183930643506,knm_informed,-6.291828160693566,182.92265792842954,-6.291828160693566,-6.303000000000001,-0.27013965293464315,0.0,80,80,4,False,16,0.17724637960391973,2,23
0.056770047675493984,knm_informed,-6.246229952324507,240.65247003454715,-6.246229952324507,-6.303000000000001,1.2438205030657974,0.0,80,80,4,False,16,0.9006829712120256,2,37
0.24794486478863842,two_local,-6.055055135211362,236.61938798613846,-6.055055135211362,-6.303000000000001,-1.295486900212604,0.0,80,80,4,False,24,3.9337595555868377,2,11
0.45152696133385284,two_local,-5.851473038666148,204.18673509266227,-5.851473038666148,-6.303000000000001,-0.09914351022966933,0.0,80,80,4,False,24,7.1636833465627925,2,23
0.4608690324079614,two_local,-5.842130967592039,211.26935200300068,-5.842130967592039,-6.303000000000001,0.9963672189123003,0.0,80,80,4,False,24,7.311899609835973,2,37
0.06889286148905072,efficient_su2,-6.23410713851095,219.91164004430175,-6.23410713851095,-6.303000000000001,2.366127863144623,0.0,80,80,4,False,24,1.0930169996676298,2,11
0.8676077451189359,efficient_su2,-5.435392254881065,220.50574992317706,-5.435392254881065,-6.303000000000001,0.5707203900881611,0.0,80,80,4,False,24,13.764996749467489,2,23
0.4858391989895461,efficient_su2,-5.817160801010455,204.17376805562526,-5.817160801010455,-6.303000000000001,-2.5049654616720307,0.0,80,80,4,False,24,7.7080628111938125,2,37
0.04251817781881506,knm_informed,-10.260481822181186,192.34415399841964,-10.260481822181186,-10.303,-2.249654117904177,1.0,80,80,4,False,16,0.412677645528633,2,11
0.23033549041453405,knm_informed,-10.072664509585467,196.98101200629026,-10.072664509585467,-10.303,-0.8655328789170647,1.0,80,80,4,False,16,2.2356157470109097,2,23
0.01631248409860575,knm_informed,-10.286687515901395,229.07018300611526,-10.286687515901395,-10.303,0.34693691506038465,1.0,80,80,4,False,16,0.15832751721445937,2,37
1.648279020121418,two_local,-8.654720979878583,224.88366800826043,-8.654720979878583,-10.303,-1.963321262612674,1.0,80,80,4,False,24,15.998049307205841,2,11
0.9590598315243408,two_local,-9.34394016847566,203.35867907851934,-9.34394016847566,-10.303,-1.0636500748373188,1.0,80,80,4,False,24,9.308549272292932,2,23
1.1576789766668227,two_local,-9.145321023333178,194.98793804086745,-9.145321023333178,-10.303,-0.28596694916509147,1.0,80,80,4,False,24,11.236328998027979,2,37
0.4291221210873246,efficient_su2,-9.873877878912676,176.7751460429281,-9.873877878912676,-10.303,1.2582224296058093,1.0,80,80,4,False,24,4.165021072380128,2,11
0.7447016697729829,efficient_su2,-9.558298330227018,251.9007809460163,-9.558298330227018,-10.303,-0.39011014926699894,1.0,80,80,4,False,24,7.22800805370264,2,23
1.3658779026380259,efficient_su2,-8.937122097361975,283.22098101489246,-8.937122097361975,-10.303,-3.6467327968584615,1.0,80,80,4,False,24,13.257089222925611,2,37
0.5378213880732616,knm_informed,-21.76517861192674,195.70321205537766,-21.76517861192674,-22.303,-3.987566708545321,4.0,80,80,4,False,16,2.4114306957506235,2,11
0.18907063599225538,knm_informed,-22.113929364007745,189.60094603244215,-22.113929364007745,-22.303,-2.6517125568643296,4.0,80,80,4,False,16,0.8477363403679118,2,23
0.152681478204709,knm_informed,-22.150318521795292,203.94288294482976,-22.150318521795292,-22.303,-2.3437138489558533,4.0,80,80,4,False,16,0.6845782101273775,2,37
1.0911635540638862,two_local,-21.211836445936115,321.54643000103533,-21.211836445936115,-22.303,-3.9668243498128835,4.0,80,80,4,False,24,4.892451930520048,2,11
2.041863985088071,two_local,-20.26113601491193,468.4097049757838,-20.26113601491193,-22.303,-3.9571697686602683,4.0,80,80,4,False,24,9.155109111276827,2,23
2.9039565076624214,two_local,-19.39904349233758,363.016763003543,-19.39904349233758,-22.303,-4.132969453397267,4.0,80,80,4,False,24,13.020474858370717,2,37
2.0183144505132766,efficient_su2,-20.284685549486724,338.25801697093993,-20.284685549486724,-22.303,-2.065493871010631,4.0,80,80,4,False,24,9.049520022029666,2,11
6.006171468698394,efficient_su2,-16.296828531301607,335.37647407501936,-16.296828531301607,-22.303,-3.27260176733248,4.0,80,80,4,False,24,26.92988148992689,2,23
1.1841262773590202,efficient_su2,-21.11887372264098,341.0748470341787,-21.11887372264098,-22.303,-7.072034802417754,4.0,80,80,4,False,24,5.309269055100301,2,37
