initial_bitstring,magnetisation,popcount,depth,observable,lambda_0_mean,lambda_4_mean,delta_lambda_4_minus_0,relative_delta_to_lambda_0,welch_t,welch_p,n_lambda_0,n_lambda_4
0000,4,0,2,state_retention,0.90810546875,0.89580078125,-0.012304687500000022,-0.013549844069254783,2.3918781492963017,0.05702054733767398,5,5
0000,4,0,2,magnetisation_leakage,0.09189453125,0.10419921875,0.012304687500000008,0.1339001062699257,-2.391878149296299,0.0570205473376742,5,5
0000,4,0,2,parity_leakage,0.07880859375,0.07041015625,-0.008398437500000008,-0.10656753407682786,2.584202746974741,0.03736477479339234,5,5
0000,4,0,2,parity_leakage_readout_corrected,0.07381422924901186,0.06531620553359684,-0.008498023715415026,-0.11512717536813931,2.584202746974745,0.03736477479339213,5,5
0000,4,0,4,state_retention,0.88994140625,0.84267578125,-0.04726562499999998,-0.053110940414792036,9.984157663785115,1.0284370795553699e-05,5,5
0000,4,0,4,magnetisation_leakage,0.11005859375,0.15732421875,0.04726562499999999,0.42945874001774614,-9.984157663785117,1.0284370795553694e-05,5,5
0000,4,0,4,parity_leakage,0.08798828125,0.110546875,0.02255859375000001,0.2563817980022199,-4.740019986633414,0.0016959559479497966,5,5
0000,4,0,4,parity_leakage_readout_corrected,0.08310276679841898,0.10592885375494071,0.022826086956521732,0.2746730083234244,-4.740019986633412,0.001695955947949801,5,5
0000,4,0,6,state_retention,0.863671875,0.79521484375,-0.06845703125000002,-0.07926277702397108,13.754355334369553,7.639112534878878e-07,5,5
0000,4,0,6,magnetisation_leakage,0.136328125,0.20478515625,0.06845703125,0.5021489971346704,-13.754355334369547,7.639112534878898e-07,5,5
0000,4,0,6,parity_leakage,0.10771484375,0.13583984375,0.028124999999999997,0.2611060743427017,-10.378799570252838,8.24255418249618e-06,5,5
0000,4,0,6,parity_leakage_readout_corrected,0.10306324110671937,0.13152173913043477,0.028458498023715403,0.27612655800575253,-10.378799570252845,8.24255418249611e-06,5,5
0001,2,1,2,state_retention,0.7849609375,0.7208984375,-0.06406249999999991,-0.08161234137845225,12.772221563590497,0.00010443633212908167,5,5
0001,2,1,2,magnetisation_leakage,0.08427734375,0.1021484375,0.017871093749999997,0.2120509849362688,-5.20736009800392,0.0008577489536794426,5,5
0001,2,1,2,parity_leakage,0.07822265625,0.08583984375,0.007617187500000011,0.09737827715355821,-1.8412928695882562,0.11485263090360646,5,5
0001,2,1,2,parity_leakage_readout_corrected,0.07024875621890547,0.07800995024875622,0.007761194029850746,0.11048158640226628,-1.8412928695882564,0.11485263090360656,5,5
0001,2,1,4,state_retention,0.48037109375,0.363671875,-0.11669921875,-0.24293555600731856,20.29509013500843,3.024620215251062e-06,5,5
0001,2,1,4,magnetisation_leakage,0.11279296875,0.166015625,0.05322265625,0.47186147186147187,-9.192504213361014,7.572617619834525e-05,5,5
0001,2,1,4,parity_leakage,0.0978515625,0.14091796875,0.04306640625000001,0.440119760479042,-9.02446423749739,7.600115965146621e-05,5,5
0001,2,1,4,parity_leakage_readout_corrected,0.09024875621890548,0.13412935323383085,0.043880597014925374,0.4862183020948181,-9.024464237497392,7.600115965146628e-05,5,5
0001,2,1,6,state_retention,0.2134765625,0.10244140625,-0.11103515624999999,-0.520128087831656,21.03392683330308,7.954173219873047e-07,5,5
0001,2,1,6,magnetisation_leakage,0.13173828125,0.2330078125,0.10126953124999999,0.7687175685693105,-15.429566022342062,1.8522827237626496e-05,5,5
0001,2,1,6,parity_leakage,0.11611328125,0.1994140625,0.08330078124999998,0.7174095878889821,-15.61920068404213,1.4612159491758227e-06,5,5
0001,2,1,6,parity_leakage_readout_corrected,0.10885572139303483,0.1937313432835821,0.08487562189054727,0.7797074954296161,-15.619200684042136,1.4612159491758136e-06,5,5
0011,0,2,2,state_retention,0.74091796875,0.7197265625,-0.021191406250000044,-0.028601555291946808,2.926958856390481,0.020432136979502684,5,5
0011,0,2,2,magnetisation_leakage,0.12138671875,0.1201171875,-0.0012695312499999972,-0.010458567980691853,0.35264166546750164,0.737050640904122,5,5
0011,0,2,2,parity_leakage,0.1052734375,0.105078125,-0.00019531250000000278,-0.0018552875695733103,0.059496411730873805,0.9543801954646766,5,5
0011,0,2,2,parity_leakage_readout_corrected,0.09498997995991984,0.09478957915831664,-0.00020040080160320384,-0.002109704641350184,0.059496411730872195,0.9543801954646778,5,5
0011,0,2,4,state_retention,0.47509765625,0.39765625,-0.07744140625000001,-0.1630010277492292,8.554123432224943,7.380018834021542e-05,5,5
0011,0,2,4,magnetisation_leakage,0.096875,0.1849609375,0.0880859375,0.9092741935483871,-29.69773653926433,1.0602288127225529e-07,5,5
0011,0,2,4,parity_leakage,0.08681640625,0.16474609375,0.07792968749999998,0.8976377952755903,-24.42412137453531,8.590965776012503e-09,5,5
0011,0,2,4,parity_leakage_readout_corrected,0.07605210420841683,0.1560120240480962,0.07995991983967936,1.051383399209486,-24.424121374535325,8.590965776012501e-09,5,5
0011,0,2,6,state_retention,0.21376953125,0.1779296875,-0.03583984375000002,-0.16765646413887628,8.509608737199093,9.614825441292102e-05,5,5
0011,0,2,6,magnetisation_leakage,0.13173828125,0.22978515625,0.098046875,0.7442550037064493,-17.577554478821526,3.1047893496606083e-06,5,5
