energy_above_global_ground,fim_energy_shift,ideal_unitary_sector_leakage,lambda_fim,magnetisation,n_qubits,off_sector_frobenius_norm,sector_dimension,sector_ground_energy
0.0,-0.0,0.0,0.0,4,4,0.0,1,-6.303000000000001
1.1317467514914288,-0.0,0.0,0.0,2,4,0.0,4,-5.171253248508572
3.545214744390467,-0.0,0.0,0.0,0,4,0.0,6,-2.7577852556095337
7.022671758181248,-0.0,0.0,0.0,-2,4,0.0,4,0.719671758181248
12.606000000000002,-0.0,0.0,0.0,-4,4,0.0,1,6.303000000000001
0.0,-1.0,0.0,0.25,4,4,0.0,1,-7.303000000000001
1.881746751491427,-0.25,0.0,0.25,2,4,0.0,4,-5.421253248508574
4.545214744390467,-0.0,0.0,0.25,0,4,0.0,6,-2.7577852556095337
7.772671758181248,-0.25,0.0,0.25,-2,4,0.0,4,0.4696717581812475
12.606000000000002,-1.0,0.0,0.25,-4,4,0.0,1,5.303000000000001
0.0,-2.0,0.0,0.5,4,4,0.0,1,-8.303
2.631746751491428,-0.5,0.0,0.5,2,4,0.0,4,-5.671253248508573
5.545214744390467,-0.0,0.0,0.5,0,4,0.0,6,-2.7577852556095337
8.522671758181248,-0.5,0.0,0.5,-2,4,0.0,4,0.21967175818124826
12.606000000000002,-2.0,0.0,0.5,-4,4,0.0,1,4.303000000000001
0.0,-4.0,0.0,1.0,4,4,0.0,1,-10.303
4.131746751491429,-1.0,0.0,1.0,2,4,0.0,4,-6.171253248508572
7.545214744390467,-0.0,0.0,1.0,0,4,0.0,6,-2.7577852556095337
10.02267175818125,-1.0,0.0,1.0,-2,4,0.0,4,-0.2803282418187504
12.606000000000002,-4.0,0.0,1.0,-4,4,0.0,1,2.303000000000001
0.0,-8.0,0.0,2.0,4,4,0.0,1,-14.303
7.131746751491427,-2.0,0.0,2.0,2,4,0.0,4,-7.171253248508574
11.545214744390467,-0.0,0.0,2.0,0,4,0.0,6,-2.7577852556095337
13.02267175818125,-2.0,0.0,2.0,-2,4,0.0,4,-1.2803282418187507
12.606000000000002,-8.0,0.0,2.0,-4,4,0.0,1,-1.6969999999999992
0.0,-16.0,0.0,4.0,4,4,0.0,1,-22.303
13.131746751491429,-4.0,0.0,4.0,2,4,0.0,4,-9.171253248508572
19.545214744390467,-0.0,0.0,4.0,0,4,0.0,6,-2.7577852556095337
19.02267175818125,-4.0,0.0,4.0,-2,4,0.0,4,-3.2803282418187507
12.606000000000002,-16.0,0.0,4.0,-4,4,0.0,1,-9.697
0.0,-32.0,0.0,8.0,4,4,0.0,1,-38.303
25.131746751491427,-8.0,0.0,8.0,2,4,0.0,4,-13.17125324850857
