bipartition_keep,eigenstate_index,energy,entropy_bits,lambda_fim,n_qubits
"0,1",0,-6.303000000000001,-0.0,0.0,4
"0,1",1,-5.171253248508573,0.7430106146879321,0.0,4
"0,1",2,-3.5494180103293465,0.9603087938798581,0.0,4
"0,1",3,-3.019863367935672,0.7249007324686982,0.0,4
"0,1",4,-2.757785255609534,0.972758927375251,0.0,4
"0,1",5,-1.4248728528525327,1.0822194530017948,0.0,4
"0,1",6,-0.8654653732264087,0.1895377530498336,0.0,4
"0,1",7,-0.49798926248712233,0.7364562002745788,0.0,4
"0,1",0,-7.303000000000001,-0.0,0.25,4
"0,1",1,-5.421253248508572,0.7430106146879334,0.25,4
"0,1",2,-3.799418010329345,0.9603087938798591,0.25,4
"0,1",3,-3.2698633679356743,0.7249007324686996,0.25,4
"0,1",4,-2.757785255609533,0.9727589273752523,0.25,4
"0,1",5,-1.4248728528525332,1.0822194530017957,0.25,4
"0,1",6,-1.1154653732264106,0.18953775304983395,0.25,4
"0,1",7,-0.49798926248712205,0.7364562002745785,0.25,4
"0,1",0,-8.303,-0.0,0.5,4
"0,1",1,-5.671253248508572,0.7430106146879338,0.5,4
"0,1",2,-4.0494180103293465,0.9603087938798579,0.5,4
"0,1",3,-3.519863367935671,0.724900732468697,0.5,4
"0,1",4,-2.7577852556095337,0.9727589273752518,0.5,4
"0,1",5,-1.4248728528525318,1.0822194530017952,0.5,4
"0,1",6,-1.3654653732264086,0.18953775304983694,0.5,4
"0,1",7,-0.49798926248712233,0.7364562002745774,0.5,4
"0,1",0,-10.303,-0.0,1.0,4
"0,1",1,-6.171253248508572,0.743010614687933,1.0,4
"0,1",2,-4.549418010329347,0.9603087938798587,1.0,4
"0,1",3,-4.019863367935671,0.7249007324686982,1.0,4
"0,1",4,-2.757785255609534,0.972758927375252,1.0,4
"0,1",5,-1.865465373226411,0.18953775304983556,1.0,4
"0,1",6,-1.4248728528525318,1.082219453001795,1.0,4
"0,1",7,-0.4979892624871238,0.7364562002745773,1.0,4
"0,1",0,-14.303,-0.0,2.0,4
"0,1",1,-7.171253248508571,0.743010614687934,2.0,4
"0,1",2,-5.549418010329348,0.9603087938798585,2.0,4
"0,1",3,-5.019863367935671,0.7249007324686978,2.0,4
"0,1",4,-2.865465373226408,0.18953775304983383,2.0,4
"0,1",5,-2.75778525560953,0.9727589273752537,2.0,4
"0,1",6,-1.6969999999999992,-0.0,2.0,4
"0,1",7,-1.4248728528525316,1.0822194530017955,2.0,4
"0,1",0,-22.303,-0.0,4.0,4
"0,1",1,-9.697,-0.0,4.0,4
"0,1",2,-9.17125324850857,0.7430106146879345,4.0,4
"0,1",3,-7.549418010329346,0.9603087938798579,4.0,4
"0,1",4,-7.019863367935668,0.7249007324686954,4.0,4
"0,1",5,-4.86546537322641,0.18953775304983667,4.0,4
"0,1",6,-3.2803282418187503,0.4226828494236561,4.0,4
"0,1",7,-2.7577852556095324,0.9727589273752525,4.0,4
"0,1",0,-38.303,-0.0,8.0,4
"0,1",1,-25.697,-0.0,8.0,4
"0,1",2,-13.171253248508572,0.7430106146879338,8.0,4
"0,1",3,-11.549418010329347,0.9603087938798596,8.0,4
"0,1",4,-11.019863367935674,0.7249007324687015,8.0,4
"0,1",5,-8.86546537322641,0.18953775304983483,8.0,4
"0,1",6,-7.280328241818749,0.4226828494236574,8.0,4
"0,1",7,-4.882963297439141,0.8764341894331529,8.0,4
"0,1,2",0,-10.793000000000001,-0.0,0.0,6
"0,1,2",1,-10.34619301469925,0.9996673065949868,0.0,6
"0,1,2",2,-8.863143900288451,1.0710437403465736,0.0,6
"0,1,2",3,-8.8324000795915,0.9754981537982312,0.0,6
"0,1,2",4,-8.035241102938217,0.4427149035646138,0.0,6
"0,1,2",5,-7.521087915961757,0.7595458032878308,0.0,6
"0,1,2",6,-7.124451277901318,1.4008752149944093,0.0,6
"0,1,2",7,-6.671559517539307,1.4782287863843029,0.0,6
"0,1,2",0,-12.293000000000001,-0.0,0.25,6
"0,1,2",1,-11.012859681365912,0.999667306594987,0.25,6
"0,1,2",2,-9.49906674625818,0.9754981537982321,0.25,6
"0,1,2",3,-9.029810566955115,1.0710437403465722,0.25,6
"0,1,2",4,-8.701907769604885,0.44271490356461873,0.25,6
"0,1,2",5,-8.187754582628427,0.7595458032878316,0.25,6
"0,1,2",6,-7.291117944567986,1.4008752149944106,0.25,6
"0,1,2",7,-6.8382261842059755,1.478228786384317,0.25,6
"0,1,2",0,-13.793000000000001,-0.0,0.5,6
"0,1,2",1,-11.679526348032581,0.9996673065949864,0.5,6
"0,1,2",2,-10.16573341292483,0.9754981537982316,0.5,6
"0,1,2",3,-9.36857443627155,0.44271490356462045,0.5,6
"0,1,2",4,-9.196477233621785,1.0710437403465738,0.5,6
"0,1,2",5,-8.854421249295093,0.7595458032878335,0.5,6
"0,1,2",6,-7.457784611234652,1.4008752149944097,0.5,6
"0,1,2",7,-7.004892850872647,1.4782287863843073,0.5,6
"0,1,2",0,-16.793,-0.0,1.0,6
"0,1,2",1,-13.01285968136591,0.999667306594986,1.0,6
"0,1,2",2,-11.49906674625817,0.975498153798232,1.0,6
"0,1,2",3,-10.70190776960488,0.4427149035646101,1.0,6
"0,1,2",4,-10.18775458262842,0.7595458032878285,1.0,6
"0,1,2",5,-9.529810566955115,1.0710437403465738,1.0,6
"0,1,2",6,-8.012669010904727,0.20157496859358376,1.0,6
"0,1,2",7,-7.791117944567988,1.4008752149944106,1.0,6
"0,1,2",0,-22.793,-0.0,2.0,6
"0,1,2",1,-15.679526348032587,0.9996673065949864,2.0,6
"0,1,2",2,-14.165733412924833,0.9754981537982317,2.0,6
"0,1,2",3,-13.368574436271551,0.442714903564611,2.0,6
"0,1,2",4,-12.85442124929509,0.7595458032878273,2.0,6
"0,1,2",5,-10.67933567757139,0.2015749685935848,2.0,6
"0,1,2",6,-10.196477233621787,1.0710437403465725,2.0,6
"0,1,2",7,-8.457784611234652,1.4008752149944093,2.0,6
"0,1,2",0,-34.793,-0.0,4.0,6
"0,1,2",1,-21.012859681365903,0.9996673065949866,4.0,6
"0,1,2",2,-19.499066746258173,0.9754981537982321,4.0,6
"0,1,2",3,-18.701907769604883,0.44271490356460236,4.0,6
"0,1,2",4,-18.187754582628425,0.7595458032878255,4.0,6
"0,1,2",5,-16.012669010904716,0.20157496859358437,4.0,6
"0,1,2",6,-13.757742209237895,0.055035704272953644,4.0,6
"0,1,2",7,-13.206999999999999,-0.0,4.0,6
"0,1,2",0,-58.793,-0.0,8.0,6
"0,1,2",1,-37.207,-0.0,8.0,6
"0,1,2",2,-31.67952634803259,0.9996673065949867,8.0,6
"0,1,2",3,-30.16573341292483,0.9754981537982335,8.0,6
"0,1,2",4,-29.368574436271555,0.4427149035646323,8.0,6
"0,1,2",5,-28.854421249295093,0.7595458032878368,8.0,6
"0,1,2",6,-26.679335677571377,0.20157496859358265,8.0,6
"0,1,2",7,-24.424408875904554,0.055035704272952124,8.0,6
"0,1,2,3",0,-12.755724606401255,0.904411749331407,0.0,8
"0,1,2,3",1,-12.473,-0.0,0.0,8
"0,1,2,3",2,-12.201223139004158,1.2463534278032582,0.0,8
"0,1,2,3",3,-11.053854238779778,0.9115485042503152,0.0,8
"0,1,2,3",4,-10.793644221543957,1.3049309378474325,0.0,8
"0,1,2,3",5,-10.50050892576083,0.9471719599928842,0.0,8
"0,1,2,3",6,-10.305246972406493,1.5751072682136587,0.0,8
"0,1,2,3",7,-9.95610345483037,0.31048534493481944,0.0,8
"0,1,2,3",0,-14.473,-0.0,0.25,8
"0,1,2,3",1,-13.880724606401262,0.904411749331404,0.25,8
"0,1,2,3",2,-12.701223139004162,1.2463534278032582,0.25,8
"0,1,2,3",3,-12.178854238779769,0.9115485042503175,0.25,8
"0,1,2,3",4,-11.625508925760832,0.9471719599928826,0.25,8
"0,1,2,3",5,-11.081103454830371,0.3104853449348183,0.25,8
"0,1,2,3",6,-10.918644221543962,1.3049309378474312,0.25,8
"0,1,2,3",7,-10.827224852819233,0.20632383494060588,0.25,8
"0,1,2,3",0,-16.473,-0.0,0.5,8
"0,1,2,3",1,-15.005724606401257,0.9044117493314048,0.5,8
"0,1,2,3",2,-13.303854238779774,0.9115485042503173,0.5,8
"0,1,2,3",3,-13.201223139004162,1.2463534278032584,0.5,8
"0,1,2,3",4,-12.75050892576083,0.947171959992884,0.5,8
"0,1,2,3",5,-12.206103454830364,0.31048534493482033,0.5,8
"0,1,2,3",6,-11.952224852819224,0.20632383494060522,0.5,8
"0,1,2,3",7,-11.400212945573433,0.24672898726857695,0.5,8
"0,1,2,3",0,-20.473,-0.0,1.0,8
"0,1,2,3",1,-17.255724606401255,0.9044117493314079,1.0,8
"0,1,2,3",2,-15.553854238779772,0.9115485042503114,1.0,8
"0,1,2,3",3,-15.000508925760819,0.9471719599928858,1.0,8
"0,1,2,3",4,-14.456103454830368,0.31048534493482144,1.0,8
"0,1,2,3",5,-14.202224852819226,0.2063238349406072,1.0,8
"0,1,2,3",6,-14.201223139004156,1.2463534278032575,1.0,8
"0,1,2,3",7,-13.650212945573431,0.24672898726858083,1.0,8
"0,1,2,3",0,-28.473,-0.0,2.0,8
"0,1,2,3",1,-21.755724606401248,0.9044117493314043,2.0,8
"0,1,2,3",2,-20.05385423877977,0.9115485042503149,2.0,8
"0,1,2,3",3,-19.500508925760833,0.9471719599928842,2.0,8
"0,1,2,3",4,-18.956103454830355,0.31048534493482693,2.0,8
"0,1,2,3",5,-18.702224852819228,0.20632383494061238,2.0,8
"0,1,2,3",6,-18.150212945573436,0.2467289872685795,2.0,8
"0,1,2,3",7,-16.201223139004167,1.2463534278032586,2.0,8
"0,1,2,3",0,-44.473,-0.0,4.0,8
"0,1,2,3",1,-30.75572460640126,0.904411749331403,4.0,8
"0,1,2,3",2,-29.053854238779742,0.9115485042503174,4.0,8
"0,1,2,3",3,-28.500508925760823,0.9471719599928852,4.0,8
"0,1,2,3",4,-27.956103454830362,0.31048534493482055,4.0,8
"0,1,2,3",5,-27.702224852819228,0.20632383494060716,4.0,8
"0,1,2,3",6,-27.150212945573426,0.246728987268575,4.0,8
"0,1,2,3",7,-25.022986163178704,0.04803905356730744,4.0,8
"0,1,2,3",0,-76.473,-0.0,8.0,8
"0,1,2,3",1,-51.527,-0.0,8.0,8
"0,1,2,3",2,-48.75572460640126,0.9044117493314083,8.0,8
"0,1,2,3",3,-47.05385423877977,0.9115485042503272,8.0,8
"0,1,2,3",4,-46.50050892576081,0.9471719599928713,8.0,8
"0,1,2,3",5,-45.95610345483036,0.31048534493482816,8.0,8
"0,1,2,3",6,-45.70222485281924,0.20632383494061385,8.0,8
"0,1,2,3",7,-45.15021294557345,0.24672898726857684,8.0,8
